age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, marital-status, income
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, <=50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
53, 50, 13, *, *, *, *, *, *, *, >50K
