age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, income, marital-status
39.5, 40, 13, *, United-States, *, White, *, Adm-clerical, <=50K, Never-married
39.5, 40, 13, *, United-States, *, White, *, Adm-clerical, <=50K, Never-married
39.5, 40, 13, *, United-States, *, White, *, Adm-clerical, <=50K, Married-civ-spouse
39.5, 40, 13, *, United-States, *, White, *, Adm-clerical, <=50K, Married-civ-spouse
39.5, 40, 13, *, United-States, *, White, *, Adm-clerical, <=50K, Married-civ-spouse
50, 21.5, 13.5, Self, United-States, *, White, *, *, *, Married-civ-spouse
50, 21.5, 13.5, Self, United-States, *, White, *, *, *, Divorced
50, 21.5, 13.5, Self, United-States, *, White, *, *, *, Married-civ-spouse
50, 21.5, 13.5, Self, United-States, *, White, *, *, *, Married-civ-spouse
50, 21.5, 13.5, Self, United-States, *, White, *, *, *, Married-civ-spouse
38.5, 40, 9, Private, United-States, Male, White, *, Handlers-cleaners, <=50K, Divorced
38.5, 40, 9, Private, United-States, Male, White, *, Handlers-cleaners, <=50K, Never-married
38.5, 40, 9, Private, United-States, Male, White, *, Handlers-cleaners, <=50K, Married-civ-spouse
38.5, 40, 9, Private, United-States, Male, White, *, Handlers-cleaners, <=50K, Divorced
38.5, 40, 9, Private, United-States, Male, White, *, Handlers-cleaners, <=50K, Married-civ-spouse
54.5, 40, 7, Private, United-States, *, *, *, *, <=50K, Married-civ-spouse
54.5, 40, 7, Private, United-States, *, *, *, *, <=50K, Divorced
54.5, 40, 7, Private, United-States, *, *, *, *, <=50K, Divorced
54.5, 40, 7, Private, United-States, *, *, *, *, <=50K, Divorced
54.5, 40, 7, Private, United-States, *, *, *, *, <=50K, Married-civ-spouse
28, 40, 13, Private, America, *, *, *, Prof-specialty, <=50K, Married-civ-spouse
28, 40, 13, Private, America, *, *, *, Prof-specialty, <=50K, Married-civ-spouse
28, 40, 13, Private, America, *, *, *, Prof-specialty, <=50K, Never-married
28, 40, 13, Private, America, *, *, *, Prof-specialty, <=50K, Never-married
28, 40, 13, Private, America, *, *, *, Prof-specialty, <=50K, Never-married
38.5, 40, 14, Private, America, *, *, *, Exec-managerial, *, Married-civ-spouse
38.5, 40, 14, Private, America, *, *, *, Exec-managerial, *, Married-civ-spouse
38.5, 40, 14, Private, America, *, *, *, Exec-managerial, *, Married-civ-spouse
38.5, 40, 14, Private, America, *, *, *, Exec-managerial, *, Married-civ-spouse
38.5, 40, 14, Private, America, *, *, *, Exec-managerial, *, Never-married
52, 20.5, 5.5, Self, America, *, *, *, *, <=50K, Married-spouse-absent
52, 20.5, 5.5, Self, America, *, *, *, *, <=50K, Married-civ-spouse
52, 20.5, 5.5, Self, America, *, *, *, *, <=50K, Married-civ-spouse
52, 20.5, 5.5, Self, America, *, *, *, *, <=50K, Divorced
52, 20.5, 5.5, Self, America, *, *, *, *, <=50K, Married-civ-spouse
52.5, 45, 9.5, Self, *, Male, *, Husband, Exec-managerial, >50K, Married-civ-spouse
52.5, 45, 9.5, Self, *, Male, *, Husband, Exec-managerial, >50K, Married-civ-spouse
52.5, 45, 9.5, Self, *, Male, *, Husband, Exec-managerial, >50K, Married-civ-spouse
52.5, 45, 9.5, Self, *, Male, *, Husband, Exec-managerial, >50K, Married-civ-spouse
52.5, 45, 9.5, Self, *, Male, *, Husband, Exec-managerial, >50K, Married-civ-spouse
32, 50, 14, Private, United-States, *, White, *, Prof-specialty, *, Never-married
32, 50, 14, Private, United-States, *, White, *, Prof-specialty, *, Married-civ-spouse
32, 50, 14, Private, United-States, *, White, *, Prof-specialty, *, Married-civ-spouse
32, 50, 14, Private, United-States, *, White, *, Prof-specialty, *, Married-civ-spouse
32, 50, 14, Private, United-States, *, White, *, Prof-specialty, *, Never-married
43, 40, 13, Private, United-States, Male, White, Husband, Exec-managerial, >50K, Married-civ-spouse
43, 40, 13, Private, United-States, Male, White, Husband, Exec-managerial, >50K, Married-civ-spouse
43, 40, 13, Private, United-States, Male, White, Husband, Exec-managerial, >50K, Married-civ-spouse
43, 40, 13, Private, United-States, Male, White, Husband, Exec-managerial, >50K, Married-civ-spouse
43, 40, 13, Private, United-States, Male, White, Husband, Exec-managerial, >50K, Married-civ-spouse
38.5, 80, 10, Self, *, Male, *, *, *, *, Married-civ-spouse
38.5, 80, 10, Self, *, Male, *, *, *, *, Divorced
38.5, 80, 10, Self, *, Male, *, *, *, *, Married-civ-spouse
38.5, 80, 10, Self, *, Male, *, *, *, *, Divorced
38.5, 80, 10, Self, *, Male, *, *, *, *, Divorced
30.5, 40, 13, *, *, Male, *, *, services, >50K, Married-civ-spouse
30.5, 40, 13, *, *, Male, *, *, services, >50K, Married-civ-spouse
30.5, 40, 13, *, *, Male, *, *, services, >50K, Married-civ-spouse
30.5, 40, 13, *, *, Male, *, *, services, >50K, Married-civ-spouse
30.5, 40, 13, *, *, Male, *, *, services, >50K, Never-married
24.5, 30, 13, Private, United-States, *, White, *, *, <=50K, Never-married
24.5, 30, 13, Private, United-States, *, White, *, *, <=50K, Never-married
24.5, 30, 13, Private, United-States, *, White, *, *, <=50K, Never-married
24.5, 30, 13, Private, United-States, *, White, *, *, <=50K, Never-married
24.5, 30, 13, Private, United-States, *, White, *, *, <=50K, Never-married
32, 50, 12.5, *, United-States, Male, *, *, services, <=50K, Never-married
32, 50, 12.5, *, United-States, Male, *, *, services, <=50K, Married-civ-spouse
32, 50, 12.5, *, United-States, Male, *, *, services, <=50K, Never-married
32, 50, 12.5, *, United-States, Male, *, *, services, <=50K, Married-civ-spouse
32, 50, 12.5, *, United-States, Male, *, *, services, <=50K, Divorced
34, 45, 4, Private, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
34, 45, 4, Private, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
34, 45, 4, Private, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
34, 45, 4, Private, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
34, 45, 4, Private, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
26, 35, 9, Self, *, Male, *, *, manual-labor, <=50K, Never-married
26, 35, 9, Self, *, Male, *, *, manual-labor, <=50K, Never-married
26, 35, 9, Self, *, Male, *, *, manual-labor, <=50K, Never-married
26, 35, 9, Self, *, Male, *, *, manual-labor, <=50K, Never-married
26, 35, 9, Self, *, Male, *, *, manual-labor, <=50K, Never-married
32.5, 40, 9, Private, United-States, Male, White, *, Machine-op-inspct, <=50K, Never-married
32.5, 40, 9, Private, United-States, Male, White, *, Machine-op-inspct, <=50K, Married-civ-spouse
32.5, 40, 9, Private, United-States, Male, White, *, Machine-op-inspct, <=50K, Never-married
32.5, 40, 9, Private, United-States, Male, White, *, Machine-op-inspct, <=50K, Married-civ-spouse
32.5, 40, 9, Private, United-States, Male, White, *, Machine-op-inspct, <=50K, Married-civ-spouse
38, 50, 7, Private, United-States, Male, White, *, *, *, Married-civ-spouse
38, 50, 7, Private, United-States, Male, White, *, *, *, Married-civ-spouse
38, 50, 7, Private, United-States, Male, White, *, *, *, Never-married
38, 50, 7, Private, United-States, Male, White, *, *, *, Married-civ-spouse
38, 50, 7, Private, United-States, Male, White, *, *, *, Married-civ-spouse
46, 45, 14, Self, United-States, *, White, *, Exec-managerial, *, Divorced
46, 45, 14, Self, United-States, *, White, *, Exec-managerial, *, Married-civ-spouse
46, 45, 14, Self, United-States, *, White, *, Exec-managerial, *, Married-civ-spouse
46, 45, 14, Self, United-States, *, White, *, Exec-managerial, *, Married-civ-spouse
46, 45, 14, Self, United-States, *, White, *, Exec-managerial, *, Married-civ-spouse
42.5, 60, 16, Self, United-States, Male, White, Husband, Prof-specialty, >50K, Married-civ-spouse
42.5, 60, 16, Self, United-States, Male, White, Husband, Prof-specialty, >50K, Married-civ-spouse
42.5, 60, 16, Self, United-States, Male, White, Husband, Prof-specialty, >50K, Married-civ-spouse
42.5, 60, 16, Self, United-States, Male, White, Husband, Prof-specialty, >50K, Married-civ-spouse
42.5, 60, 16, Self, United-States, Male, White, Husband, Prof-specialty, >50K, Married-civ-spouse
55, 20, 9, Private, United-States, *, Black, *, *, <=50K, Separated
55, 20, 9, Private, United-States, *, Black, *, *, <=50K, Married-civ-spouse
55, 20, 9, Private, United-States, *, Black, *, *, <=50K, Widowed
55, 20, 9, Private, United-States, *, Black, *, *, <=50K, Married-civ-spouse
55, 20, 9, Private, United-States, *, Black, *, *, <=50K, Widowed
39, 40, 5, *, America, Male, *, Husband, *, <=50K, Married-civ-spouse
39, 40, 5, *, America, Male, *, Husband, *, <=50K, Married-civ-spouse
39, 40, 5, *, America, Male, *, Husband, *, <=50K, Married-civ-spouse
39, 40, 5, *, America, Male, *, Husband, *, <=50K, Married-civ-spouse
39, 40, 5, *, America, Male, *, Husband, *, <=50K, Married-civ-spouse
45.5, 40, 7, Private, America, *, *, *, manual-labor, <=50K, Married-civ-spouse
45.5, 40, 7, Private, America, *, *, *, manual-labor, <=50K, Never-married
45.5, 40, 7, Private, America, *, *, *, manual-labor, <=50K, Married-spouse-absent
45.5, 40, 7, Private, America, *, *, *, manual-labor, <=50K, Married-civ-spouse
45.5, 40, 7, Private, America, *, *, *, manual-labor, <=50K, Married-civ-spouse
59, 40, 9, Private, United-States, Female, *, *, *, <=50K, Divorced
59, 40, 9, Private, United-States, Female, *, *, *, <=50K, Divorced
59, 40, 9, Private, United-States, Female, *, *, *, <=50K, Never-married
59, 40, 9, Private, United-States, Female, *, *, *, <=50K, Divorced
59, 40, 9, Private, United-States, Female, *, *, *, <=50K, Separated
56.5, 40, 13, *, United-States, Male, *, Husband, services, >50K, Married-civ-spouse
56.5, 40, 13, *, United-States, Male, *, Husband, services, >50K, Married-civ-spouse
56.5, 40, 13, *, United-States, Male, *, Husband, services, >50K, Married-civ-spouse
56.5, 40, 13, *, United-States, Male, *, Husband, services, >50K, Married-civ-spouse
56.5, 40, 13, *, United-States, Male, *, Husband, services, >50K, Married-civ-spouse
20, 40, 9, Private, United-States, Male, *, Own-child, Craft-repair, <=50K, Never-married
20, 40, 9, Private, United-States, Male, *, Own-child, Craft-repair, <=50K, Never-married
20, 40, 9, Private, United-States, Male, *, Own-child, Craft-repair, <=50K, Never-married
20, 40, 9, Private, United-States, Male, *, Own-child, Craft-repair, <=50K, Never-married
20, 40, 9, Private, United-States, Male, *, Own-child, Craft-repair, <=50K, Never-married
50, 40, 9, Private, United-States, Male, White, Husband, Craft-repair, <=50K, Married-civ-spouse
50, 40, 9, Private, United-States, Male, White, Husband, Craft-repair, <=50K, Married-civ-spouse
50, 40, 9, Private, United-States, Male, White, Husband, Craft-repair, <=50K, Married-civ-spouse
50, 40, 9, Private, United-States, Male, White, Husband, Craft-repair, <=50K, Married-civ-spouse
50, 40, 9, Private, United-States, Male, White, Husband, Craft-repair, <=50K, Married-civ-spouse
25.5, 56, 12, *, United-States, *, White, *, *, <=50K, Never-married
25.5, 56, 12, *, United-States, *, White, *, *, <=50K, Never-married
25.5, 56, 12, *, United-States, *, White, *, *, <=50K, Married-civ-spouse
25.5, 56, 12, *, United-States, *, White, *, *, <=50K, Never-married
25.5, 56, 12, *, United-States, *, White, *, *, <=50K, Married-civ-spouse
20.5, 44.5, 10, Private, United-States, Male, *, *, services, <=50K, Never-married
20.5, 44.5, 10, Private, United-States, Male, *, *, services, <=50K, Never-married
20.5, 44.5, 10, Private, United-States, Male, *, *, services, <=50K, Never-married
20.5, 44.5, 10, Private, United-States, Male, *, *, services, <=50K, Never-married
20.5, 44.5, 10, Private, United-States, Male, *, *, services, <=50K, Never-married
45, 40, 13, *, *, Male, *, *, bureaucracy, <=50K, Divorced
45, 40, 13, *, *, Male, *, *, bureaucracy, <=50K, Married-civ-spouse
45, 40, 13, *, *, Male, *, *, bureaucracy, <=50K, Married-civ-spouse
45, 40, 13, *, *, Male, *, *, bureaucracy, <=50K, Married-civ-spouse
45, 40, 13, *, *, Male, *, *, bureaucracy, <=50K, Married-civ-spouse
31.5, 40, 10, *, America, Male, White, *, Adm-clerical, <=50K, Married-civ-spouse
31.5, 40, 10, *, America, Male, White, *, Adm-clerical, <=50K, Married-civ-spouse
31.5, 40, 10, *, America, Male, White, *, Adm-clerical, <=50K, Married-civ-spouse
31.5, 40, 10, *, America, Male, White, *, Adm-clerical, <=50K, Divorced
31.5, 40, 10, *, America, Male, White, *, Adm-clerical, <=50K, Never-married
22, 15, 10, *, United-States, *, *, *, services, <=50K, Married-civ-spouse
22, 15, 10, *, United-States, *, *, *, services, <=50K, Never-married
22, 15, 10, *, United-States, *, *, *, services, <=50K, Never-married
22, 15, 10, *, United-States, *, *, *, services, <=50K, Never-married
22, 15, 10, *, United-States, *, *, *, services, <=50K, Never-married
22, 40, 10, Private, United-States, Male, *, *, Machine-op-inspct, <=50K, Never-married
22, 40, 10, Private, United-States, Male, *, *, Machine-op-inspct, <=50K, Never-married
22, 40, 10, Private, United-States, Male, *, *, Machine-op-inspct, <=50K, Never-married
22, 40, 10, Private, United-States, Male, *, *, Machine-op-inspct, <=50K, Never-married
22, 40, 10, Private, United-States, Male, *, *, Machine-op-inspct, <=50K, Never-married
19.5, 27.5, 9.5, Private, United-States, *, White, *, Adm-clerical, <=50K, Married-AF-spouse
19.5, 27.5, 9.5, Private, United-States, *, White, *, Adm-clerical, <=50K, Never-married
19.5, 27.5, 9.5, Private, United-States, *, White, *, Adm-clerical, <=50K, Never-married
19.5, 27.5, 9.5, Private, United-States, *, White, *, Adm-clerical, <=50K, Never-married
19.5, 27.5, 9.5, Private, United-States, *, White, *, Adm-clerical, <=50K, Never-married
49, 40, 12, Self, *, *, White, *, *, *, Married-civ-spouse
49, 40, 12, Self, *, *, White, *, *, *, Divorced
49, 40, 12, Self, *, *, White, *, *, *, Divorced
49, 40, 12, Self, *, *, White, *, *, *, Separated
49, 40, 12, Self, *, *, White, *, *, *, Married-civ-spouse
31.5, 43, 5.5, Private, America, Male, White, *, manual-labor, <=50K, Married-civ-spouse
31.5, 43, 5.5, Private, America, Male, White, *, manual-labor, <=50K, Married-civ-spouse
31.5, 43, 5.5, Private, America, Male, White, *, manual-labor, <=50K, Married-civ-spouse
