age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, income, marital-status
41.5, 40, 13, *, United-States, *, White, Not-in-family, *, *, Never-married
41.5, 40, 13, *, United-States, *, White, Not-in-family, *, *, Divorced
41.5, 40, 13, *, United-States, *, White, Not-in-family, *, *, Married-spouse-absent
41.5, 40, 13, *, United-States, *, White, Not-in-family, *, *, Never-married
41.5, 40, 13, *, United-States, *, White, Not-in-family, *, *, Divorced
41.5, 40, 13, *, United-States, *, White, Not-in-family, *, *, Never-married
41.5, 40, 13, *, United-States, *, White, Not-in-family, *, *, Never-married
41.5, 40, 13, *, United-States, *, White, Not-in-family, *, *, Divorced
41.5, 40, 13, *, United-States, *, White, Not-in-family, *, *, Divorced
41.5, 40, 13, *, United-States, *, White, Not-in-family, *, *, Widowed
52.5, 26.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
52.5, 26.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
52.5, 26.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
52.5, 26.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
52.5, 26.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
52.5, 26.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
52.5, 26.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
52.5, 26.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
52.5, 26.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
52.5, 26.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
39.5, 40, 9, *, United-States, *, White, Not-in-family, *, <=50K, Divorced
39.5, 40, 9, *, United-States, *, White, Not-in-family, *, <=50K, Never-married
39.5, 40, 9, *, United-States, *, White, Not-in-family, *, <=50K, Divorced
39.5, 40, 9, *, United-States, *, White, Not-in-family, *, <=50K, Never-married
39.5, 40, 9, *, United-States, *, White, Not-in-family, *, <=50K, Separated
39.5, 40, 9, *, United-States, *, White, Not-in-family, *, <=50K, Never-married
39.5, 40, 9, *, United-States, *, White, Not-in-family, *, <=50K, Never-married
39.5, 40, 9, *, United-States, *, White, Not-in-family, *, <=50K, Never-married
