age, hours-per-week, workclass, native-country, sex, race, relationship, occupation, marital-status, income, education-num
41.5, 40, Gov, America, *, White, *, *, *, <=50K, 13
41.5, 40, Gov, America, *, White, *, *, *, <=50K, 11
41.5, 40, Gov, America, *, White, *, *, *, <=50K, 10
41.5, 40, Gov, America, *, White, *, *, *, <=50K, 10
41.5, 40, Gov, America, *, White, *, *, *, <=50K, 5
41.5, 40, Gov, America, *, White, *, *, *, <=50K, 9
41.5, 40, Gov, America, *, White, *, *, *, <=50K, 10
41.5, 40, Gov, America, *, White, *, *, *, <=50K, 13
41.5, 40, Gov, America, *, White, *, *, *, <=50K, 10
41.5, 40, Gov, America, *, White, *, *, *, <=50K, 9
41.5, 40, Gov, America, *, White, *, *, *, <=50K, 13
41.5, 40, Gov, America, *, White, *, *, *, <=50K, 10
41.5, 40, Gov, America, *, White, *, *, *, <=50K, 10
41.5, 40, Gov, America, *, White, *, *, *, <=50K, 7
41.5, 40, Gov, America, *, White, *, *, *, <=50K, 13
41.5, 40, Gov, America, *, White, *, *, *, <=50K, 13
41.5, 40, Gov, America, *, White, *, *, *, <=50K, 14
41.5, 40, Gov, America, *, White, *, *, *, <=50K, 10
41.5, 40, Gov, America, *, White, *, *, *, <=50K, 10
41.5, 40, Gov, America, *, White, *, *, *, <=50K, 13
56.5, 16.5, *, America, *, *, *, *, *, <=50K, 13
56.5, 16.5, *, America, *, *, *, *, *, <=50K, 5
56.5, 16.5, *, America, *, *, *, *, *, <=50K, 9
56.5, 16.5, *, America, *, *, *, *, *, <=50K, 9
56.5, 16.5, *, America, *, *, *, *, *, <=50K, 10
56.5, 16.5, *, America, *, *, *, *, *, <=50K, 9
56.5, 16.5, *, America, *, *, *, *, *, <=50K, 5
56.5, 16.5, *, America, *, *, *, *, *, <=50K, 9
56.5, 16.5, *, America, *, *, *, *, *, <=50K, 11
56.5, 16.5, *, America, *, *, *, *, *, <=50K, 10
56.5, 16.5, *, America, *, *, *, *, *, <=50K, 6
56.5, 16.5, *, America, *, *, *, *, *, <=50K, 10
56.5, 16.5, *, America, *, *, *, *, *, <=50K, 14
56.5, 16.5, *, America, *, *, *, *, *, <=50K, 4
56.5, 16.5, *, America, *, *, *, *, *, <=50K, 5
56.5, 16.5, *, America, *, *, *, *, *, <=50K, 9
56.5, 16.5, *, America, *, *, *, *, *, <=50K, 9
56.5, 16.5, *, America, *, *, *, *, *, <=50K, 9
56.5, 16.5, *, America, *, *, *, *, *, <=50K, 15
56.5, 16.5, *, America, *, *, *, *, *, <=50K, 9
39, 40, Private, *, Male, White, *, manual-labor, *, <=50K, 9
39, 40, Private, *, Male, White, *, manual-labor, *, <=50K, 10
39, 40, Private, *, Male, White, *, manual-labor, *, <=50K, 10
39, 40, Private, *, Male, White, *, manual-labor, *, <=50K, 10
39, 40, Private, *, Male, White, *, manual-labor, *, <=50K, 9
39, 40, Private, *, Male, White, *, manual-labor, *, <=50K, 13
39, 40, Private, *, Male, White, *, manual-labor, *, <=50K, 10
39, 40, Private, *, Male, White, *, manual-labor, *, <=50K, 10
39, 40, Private, *, Male, White, *, manual-labor, *, <=50K, 9
39, 40, Private, *, Male, White, *, manual-labor, *, <=50K, 10
39, 40, Private, *, Male, White, *, manual-labor, *, <=50K, 11
39, 40, Private, *, Male, White, *, manual-labor, *, <=50K, 6
39, 40, Private, *, Male, White, *, manual-labor, *, <=50K, 6
39, 40, Private, *, Male, White, *, manual-labor, *, <=50K, 9
39, 40, Private, *, Male, White, *, manual-labor, *, <=50K, 9
39, 40, Private, *, Male, White, *, manual-labor, *, <=50K, 9
39, 40, Private, *, Male, White, *, manual-labor, *, <=50K, 10
39, 40, Private, *, Male, White, *, manual-labor, *, <=50K, 9
39, 40, Private, *, Male, White, *, manual-labor, *, <=50K, 9
39, 40, Private, *, Male, White, *, manual-labor, *, <=50K, 5
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 7
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 13
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 6
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 9
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 9
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 10
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 10
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 9
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 9
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 10
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 10
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 9
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 9
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 9
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 6
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 4
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 10
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 13
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 10
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 7
29, 40, Private, *, *, *, *, *, Married-civ-spouse, <=50K, 13
29, 40, Private, *, *, *, *, *, Married-civ-spouse, <=50K, 9
29, 40, Private, *, *, *, *, *, Married-civ-spouse, <=50K, 13
29, 40, Private, *, *, *, *, *, Married-civ-spouse, <=50K, 9
