age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, marital-status, income
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, <=50K
51.5, 50, 13, *, *, *, White, *, *, *, >50K
