age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, marital-status, income
43, 43, 13, *, United-States, *, White, *, *, *, <=50K
43, 43, 13, *, United-States, *, White, *, *, *, >50K
43, 43, 13, *, United-States, *, White, *, *, *, <=50K
43, 43, 13, *, United-States, *, White, *, *, *, >50K
43, 43, 13, *, United-States, *, White, *, *, *, <=50K
43, 43, 13, *, United-States, *, White, *, *, *, >50K
43, 43, 13, *, United-States, *, White, *, *, *, <=50K
43, 43, 13, *, United-States, *, White, *, *, *, <=50K
43, 43, 13, *, United-States, *, White, *, *, *, >50K
43, 43, 13, *, United-States, *, White, *, *, *, <=50K
43, 43, 13, *, United-States, *, White, *, *, *, <=50K
43, 43, 13, *, United-States, *, White, *, *, *, <=50K
43, 43, 13, *, United-States, *, White, *, *, *, >50K
43, 43, 13, *, United-States, *, White, *, *, *, >50K
43, 43, 13, *, United-States, *, White, *, *, *, >50K
43, 43, 13, *, United-States, *, White, *, *, *, >50K
43, 43, 13, *, United-States, *, White, *, *, *, <=50K
43, 43, 13, *, United-States, *, White, *, *, *, <=50K
43, 43, 13, *, United-States, *, White, *, *, *, >50K
43, 43, 13, *, United-States, *, White, *, *, *, >50K
43, 43, 13, *, United-States, *, White, *, *, *, <=50K
43, 43, 13, *, United-States, *, White, *, *, *, <=50K
43, 43, 13, *, United-States, *, White, *, *, *, >50K
43, 43, 13, *, United-States, *, White, *, *, *, <=50K
43, 43, 13, *, United-States, *, White, *, *, *, <=50K
43, 43, 13, *, United-States, *, White, *, *, *, >50K
43, 43, 13, *, United-States, *, White, *, *, *, >50K
43, 43, 13, *, United-States, *, White, *, *, *, >50K
43, 43, 13, *, United-States, *, White, *, *, *, >50K
43, 43, 13, *, United-States, *, White, *, *, *, <=50K
43, 43, 13, *, United-States, *, White, *, *, *, >50K
43, 43, 13, *, United-States, *, White, *, *, *, <=50K
43, 43, 13, *, United-States, *, White, *, *, *, <=50K
43, 43, 13, *, United-States, *, White, *, *, *, >50K
43, 43, 13, *, United-States, *, White, *, *, *, <=50K
43, 43, 13, *, United-States, *, White, *, *, *, >50K
43, 43, 13, *, United-States, *, White, *, *, *, <=50K
43, 43, 13, *, United-States, *, White, *, *, *, <=50K
