age, hours-per-week, workclass, native-country, sex, race, relationship, occupation, marital-status, income, education-num
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 7
51.5, 45, *, *, *, *, *, *, *, <=50K, 7
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 7
51.5, 45, *, *, *, *, *, *, *, <=50K, 12
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 14
51.5, 45, *, *, *, *, *, *, *, <=50K, 11
51.5, 45, *, *, *, *, *, *, *, <=50K, 3
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 12
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 11
51.5, 45, *, *, *, *, *, *, *, <=50K, 12
51.5, 45, *, *, *, *, *, *, *, <=50K, 14
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 5
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 7
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 14
51.5, 45, *, *, *, *, *, *, *, <=50K, 12
51.5, 45, *, *, *, *, *, *, *, <=50K, 14
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 12
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 11
51.5, 45, *, *, *, *, *, *, *, <=50K, 4
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 4
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 11
51.5, 45, *, *, *, *, *, *, *, <=50K, 6
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 3
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 12
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 2
51.5, 45, *, *, *, *, *, *, *, <=50K, 14
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 12
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 2
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 8
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 5
51.5, 45, *, *, *, *, *, *, *, <=50K, 6
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 14
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 1
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 5
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 14
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 14
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 14
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 6
51.5, 45, *, *, *, *, *, *, *, <=50K, 15
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 14
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 11
51.5, 45, *, *, *, *, *, *, *, <=50K, 16
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 11
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 7
51.5, 45, *, *, *, *, *, *, *, <=50K, 14
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 14
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 14
51.5, 45, *, *, *, *, *, *, *, <=50K, 15
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 14
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 13
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
51.5, 45, *, *, *, *, *, *, *, <=50K, 14
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 10
51.5, 45, *, *, *, *, *, *, *, <=50K, 9
