age, hours-per-week, workclass, native-country, sex, race, relationship, occupation, marital-status, income, education-num
43.5, 40, *, America, Male, *, *, *, *, <=50K, 13
43.5, 40, *, America, Male, *, *, *, *, <=50K, 7
43.5, 40, *, America, Male, *, *, *, *, <=50K, 13
43.5, 40, *, America, Male, *, *, *, *, <=50K, 7
43.5, 40, *, America, Male, *, *, *, *, <=50K, 12
43.5, 40, *, America, Male, *, *, *, *, <=50K, 11
43.5, 40, *, America, Male, *, *, *, *, <=50K, 3
43.5, 40, *, America, Male, *, *, *, *, <=50K, 9
43.5, 40, *, America, Male, *, *, *, *, <=50K, 12
43.5, 40, *, America, Male, *, *, *, *, <=50K, 9
43.5, 40, *, America, Male, *, *, *, *, <=50K, 10
43.5, 40, *, America, Male, *, *, *, *, <=50K, 14
43.5, 40, *, America, Male, *, *, *, *, <=50K, 13
43.5, 40, *, America, Male, *, *, *, *, <=50K, 9
43.5, 40, *, America, Male, *, *, *, *, <=50K, 9
43.5, 40, *, America, Male, *, *, *, *, <=50K, 9
43.5, 40, *, America, Male, *, *, *, *, <=50K, 11
43.5, 40, *, America, Male, *, *, *, *, <=50K, 9
43.5, 40, *, America, Male, *, *, *, *, <=50K, 9
43.5, 40, *, America, Male, *, *, *, *, <=50K, 9
43.5, 40, *, America, Male, *, *, *, *, <=50K, 12
43.5, 40, *, America, Male, *, *, *, *, <=50K, 10
43.5, 40, *, America, Male, *, *, *, *, <=50K, 14
43.5, 40, *, America, Male, *, *, *, *, <=50K, 12
43.5, 40, *, America, Male, *, *, *, *, <=50K, 9
43.5, 40, *, America, Male, *, *, *, *, <=50K, 10
43.5, 40, *, America, Male, *, *, *, *, <=50K, 10
43.5, 40, *, America, Male, *, *, *, *, <=50K, 9
43.5, 40, *, America, Male, *, *, *, *, <=50K, 11
43.5, 40, *, America, Male, *, *, *, *, <=50K, 13
43.5, 40, *, America, Male, *, *, *, *, <=50K, 10
43.5, 40, *, America, Male, *, *, *, *, <=50K, 10
43.5, 40, *, America, Male, *, *, *, *, <=50K, 13
43.5, 40, *, America, Male, *, *, *, *, <=50K, 6
43.5, 40, *, America, Male, *, *, *, *, <=50K, 6
43.5, 40, *, America, Male, *, *, *, *, <=50K, 13
43.5, 40, *, America, Male, *, *, *, *, <=50K, 10
43.5, 40, *, America, Male, *, *, *, *, <=50K, 9
43.5, 40, *, America, Male, *, *, *, *, <=50K, 9
43.5, 40, *, America, Male, *, *, *, *, <=50K, 9
43.5, 40, *, America, Male, *, *, *, *, <=50K, 9
43.5, 40, *, America, Male, *, *, *, *, <=50K, 10
43.5, 40, *, America, Male, *, *, *, *, <=50K, 9
43.5, 40, *, America, Male, *, *, *, *, <=50K, 9
43.5, 40, *, America, Male, *, *, *, *, <=50K, 7
43.5, 40, *, America, Male, *, *, *, *, <=50K, 2
43.5, 40, *, America, Male, *, *, *, *, <=50K, 9
43.5, 40, *, America, Male, *, *, *, *, <=50K, 10
