age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, marital-status, income
45, 40, 13, *, *, *, White, *, *, *, <=50K
45, 40, 13, *, *, *, White, *, *, *, >50K
45, 40, 13, *, *, *, White, *, *, *, <=50K
45, 40, 13, *, *, *, White, *, *, *, >50K
45, 40, 13, *, *, *, White, *, *, *, <=50K
45, 40, 13, *, *, *, White, *, *, *, >50K
45, 40, 13, *, *, *, White, *, *, *, >50K
45, 40, 13, *, *, *, White, *, *, *, >50K
45, 40, 13, *, *, *, White, *, *, *, <=50K
45, 40, 13, *, *, *, White, *, *, *, <=50K
45, 40, 13, *, *, *, White, *, *, *, <=50K
45, 40, 13, *, *, *, White, *, *, *, >50K
45, 40, 13, *, *, *, White, *, *, *, >50K
45, 40, 13, *, *, *, White, *, *, *, >50K
45, 40, 13, *, *, *, White, *, *, *, <=50K
45, 40, 13, *, *, *, White, *, *, *, >50K
45, 40, 13, *, *, *, White, *, *, *, <=50K
45, 40, 13, *, *, *, White, *, *, *, >50K
45, 40, 13, *, *, *, White, *, *, *, <=50K
45, 40, 13, *, *, *, White, *, *, *, <=50K
45, 40, 13, *, *, *, White, *, *, *, >50K
45, 40, 13, *, *, *, White, *, *, *, <=50K
45, 40, 13, *, *, *, White, *, *, *, >50K
45, 40, 13, *, *, *, White, *, *, *, >50K
45, 40, 13, *, *, *, White, *, *, *, >50K
45, 40, 13, *, *, *, White, *, *, *, >50K
45, 40, 13, *, *, *, White, *, *, *, >50K
45, 40, 13, *, *, *, White, *, *, *, <=50K
45, 40, 13, *, *, *, White, *, *, *, <=50K
45, 40, 13, *, *, *, White, *, *, *, >50K
45, 40, 13, *, *, *, White, *, *, *, <=50K
45, 40, 13, *, *, *, White, *, *, *, <=50K
45, 40, 13, *, *, *, White, *, *, *, <=50K
45, 40, 13, *, *, *, White, *, *, *, >50K
45, 40, 13, *, *, *, White, *, *, *, >50K
45, 40, 13, *, *, *, White, *, *, *, <=50K
45, 40, 13, *, *, *, White, *, *, *, >50K
45, 40, 13, *, *, *, White, *, *, *, >50K
45, 40, 13, *, *, *, White, *, *, *, >50K
45, 40, 13, *, *, *, White, *, *, *, <=50K
45, 40, 13, *, *, *, White, *, *, *, <=50K
45, 40, 13, *, *, *, White, *, *, *, >50K
45, 40, 13, *, *, *, White, *, *, *, >50K
45, 40, 13, *, *, *, White, *, *, *, >50K
45, 40, 13, *, *, *, White, *, *, *, >50K
45, 40, 13, *, *, *, White, *, *, *, <=50K
45, 40, 13, *, *, *, White, *, *, *, <=50K
45, 40, 13, *, *, *, White, *, *, *, >50K
45, 40, 13, *, *, *, White, *, *, *, >50K
45, 40, 13, *, *, *, White, *, *, *, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, <=50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, <=50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, <=50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, <=50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, <=50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, <=50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, <=50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, <=50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
55.5, 34.5, 13, *, *, Male, *, Husband, *, Married-civ-spouse, >50K
