age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, marital-status, income
44, 45, 13, *, United-States, *, White, *, *, Never-married, <=50K
44, 45, 13, *, United-States, *, White, *, *, Never-married, <=50K
44, 45, 13, *, United-States, *, White, *, *, Never-married, <=50K
44, 45, 13, *, United-States, *, White, *, *, Never-married, <=50K
44, 45, 13, *, United-States, *, White, *, *, Never-married, <=50K
44, 45, 13, *, United-States, *, White, *, *, Never-married, <=50K
44, 45, 13, *, United-States, *, White, *, *, Never-married, >50K
44, 45, 13, *, United-States, *, White, *, *, Never-married, <=50K
44, 45, 13, *, United-States, *, White, *, *, Never-married, <=50K
44, 45, 13, *, United-States, *, White, *, *, Never-married, >50K
44, 45, 13, *, United-States, *, White, *, *, Never-married, <=50K
44, 45, 13, *, United-States, *, White, *, *, Never-married, <=50K
44, 45, 13, *, United-States, *, White, *, *, Never-married, <=50K
44, 45, 13, *, United-States, *, White, *, *, Never-married, <=50K
44, 45, 13, *, United-States, *, White, *, *, Never-married, <=50K
44, 45, 13, *, United-States, *, White, *, *, Never-married, <=50K
44, 45, 13, *, United-States, *, White, *, *, Never-married, <=50K
44, 45, 13, *, United-States, *, White, *, *, Never-married, <=50K
44, 45, 13, *, United-States, *, White, *, *, Never-married, <=50K
44, 45, 13, *, United-States, *, White, *, *, Never-married, >50K
53, 26.5, 13, *, America, Male, White, Husband, *, Married-civ-spouse, <=50K
53, 26.5, 13, *, America, Male, White, Husband, *, Married-civ-spouse, >50K
53, 26.5, 13, *, America, Male, White, Husband, *, Married-civ-spouse, <=50K
53, 26.5, 13, *, America, Male, White, Husband, *, Married-civ-spouse, <=50K
53, 26.5, 13, *, America, Male, White, Husband, *, Married-civ-spouse, >50K
53, 26.5, 13, *, America, Male, White, Husband, *, Married-civ-spouse, >50K
53, 26.5, 13, *, America, Male, White, Husband, *, Married-civ-spouse, >50K
53, 26.5, 13, *, America, Male, White, Husband, *, Married-civ-spouse, >50K
53, 26.5, 13, *, America, Male, White, Husband, *, Married-civ-spouse, >50K
53, 26.5, 13, *, America, Male, White, Husband, *, Married-civ-spouse, <=50K
53, 26.5, 13, *, America, Male, White, Husband, *, Married-civ-spouse, >50K
53, 26.5, 13, *, America, Male, White, Husband, *, Married-civ-spouse, >50K
53, 26.5, 13, *, America, Male, White, Husband, *, Married-civ-spouse, >50K
53, 26.5, 13, *, America, Male, White, Husband, *, Married-civ-spouse, <=50K
53, 26.5, 13, *, America, Male, White, Husband, *, Married-civ-spouse, <=50K
53, 26.5, 13, *, America, Male, White, Husband, *, Married-civ-spouse, >50K
53, 26.5, 13, *, America, Male, White, Husband, *, Married-civ-spouse, >50K
53, 26.5, 13, *, America, Male, White, Husband, *, Married-civ-spouse, >50K
53, 26.5, 13, *, America, Male, White, Husband, *, Married-civ-spouse, >50K
53, 26.5, 13, *, America, Male, White, Husband, *, Married-civ-spouse, >50K
43.5, 40, 9, Private, United-States, *, White, *, *, Divorced, <=50K
43.5, 40, 9, Private, United-States, *, White, *, *, Divorced, >50K
43.5, 40, 9, Private, United-States, *, White, *, *, Divorced, <=50K
43.5, 40, 9, Private, United-States, *, White, *, *, Divorced, <=50K
43.5, 40, 9, Private, United-States, *, White, *, *, Divorced, <=50K
43.5, 40, 9, Private, United-States, *, White, *, *, Divorced, <=50K
43.5, 40, 9, Private, United-States, *, White, *, *, Divorced, <=50K
43.5, 40, 9, Private, United-States, *, White, *, *, Divorced, <=50K
43.5, 40, 9, Private, United-States, *, White, *, *, Divorced, <=50K
43.5, 40, 9, Private, United-States, *, White, *, *, Divorced, >50K
43.5, 40, 9, Private, United-States, *, White, *, *, Divorced, <=50K
43.5, 40, 9, Private, United-States, *, White, *, *, Divorced, <=50K
43.5, 40, 9, Private, United-States, *, White, *, *, Divorced, <=50K
43.5, 40, 9, Private, United-States, *, White, *, *, Divorced, <=50K
43.5, 40, 9, Private, United-States, *, White, *, *, Divorced, <=50K
43.5, 40, 9, Private, United-States, *, White, *, *, Divorced, <=50K
43.5, 40, 9, Private, United-States, *, White, *, *, Divorced, <=50K
43.5, 40, 9, Private, United-States, *, White, *, *, Divorced, <=50K
43.5, 40, 9, Private, United-States, *, White, *, *, Divorced, <=50K
43.5, 40, 9, Private, United-States, *, White, *, *, Divorced, <=50K
58.5, 45, 8, *, United-States, Male, *, Husband, manual-labor, Married-civ-spouse, <=50K
58.5, 45, 8, *, United-States, Male, *, Husband, manual-labor, Married-civ-spouse, <=50K
58.5, 45, 8, *, United-States, Male, *, Husband, manual-labor, Married-civ-spouse, <=50K
58.5, 45, 8, *, United-States, Male, *, Husband, manual-labor, Married-civ-spouse, <=50K
58.5, 45, 8, *, United-States, Male, *, Husband, manual-labor, Married-civ-spouse, <=50K
58.5, 45, 8, *, United-States, Male, *, Husband, manual-labor, Married-civ-spouse, <=50K
58.5, 45, 8, *, United-States, Male, *, Husband, manual-labor, Married-civ-spouse, <=50K
58.5, 45, 8, *, United-States, Male, *, Husband, manual-labor, Married-civ-spouse, >50K
58.5, 45, 8, *, United-States, Male, *, Husband, manual-labor, Married-civ-spouse, <=50K
58.5, 45, 8, *, United-States, Male, *, Husband, manual-labor, Married-civ-spouse, <=50K
58.5, 45, 8, *, United-States, Male, *, Husband, manual-labor, Married-civ-spouse, <=50K
58.5, 45, 8, *, United-States, Male, *, Husband, manual-labor, Married-civ-spouse, <=50K
58.5, 45, 8, *, United-States, Male, *, Husband, manual-labor, Married-civ-spouse, <=50K
58.5, 45, 8, *, United-States, Male, *, Husband, manual-labor, Married-civ-spouse, <=50K
58.5, 45, 8, *, United-States, Male, *, Husband, manual-labor, Married-civ-spouse, <=50K
58.5, 45, 8, *, United-States, Male, *, Husband, manual-labor, Married-civ-spouse, <=50K
58.5, 45, 8, *, United-States, Male, *, Husband, manual-labor, Married-civ-spouse, >50K
58.5, 45, 8, *, United-States, Male, *, Husband, manual-labor, Married-civ-spouse, <=50K
58.5, 45, 8, *, United-States, Male, *, Husband, manual-labor, Married-civ-spouse, <=50K
58.5, 45, 8, *, United-States, Male, *, Husband, manual-labor, Married-civ-spouse, >50K
30.5, 40, 13, Private, America, *, *, *, *, Married-civ-spouse, <=50K
30.5, 40, 13, Private, America, *, *, *, *, Married-civ-spouse, <=50K
30.5, 40, 13, Private, America, *, *, *, *, Married-civ-spouse, >50K
30.5, 40, 13, Private, America, *, *, *, *, Married-civ-spouse, >50K
30.5, 40, 13, Private, America, *, *, *, *, Married-civ-spouse, >50K
30.5, 40, 13, Private, America, *, *, *, *, Married-civ-spouse, >50K
30.5, 40, 13, Private, America, *, *, *, *, Married-civ-spouse, >50K
30.5, 40, 13, Private, America, *, *, *, *, Married-civ-spouse, >50K
30.5, 40, 13, Private, America, *, *, *, *, Married-civ-spouse, <=50K
30.5, 40, 13, Private, America, *, *, *, *, Married-civ-spouse, >50K
30.5, 40, 13, Private, America, *, *, *, *, Married-civ-spouse, <=50K
30.5, 40, 13, Private, America, *, *, *, *, Married-civ-spouse, <=50K
30.5, 40, 13, Private, America, *, *, *, *, Married-civ-spouse, >50K
30.5, 40, 13, Private, America, *, *, *, *, Married-civ-spouse, >50K
30.5, 40, 13, Private, America, *, *, *, *, Married-civ-spouse, <=50K
30.5, 40, 13, Private, America, *, *, *, *, Married-civ-spouse, >50K
30.5, 40, 13, Private, America, *, *, *, *, Married-civ-spouse, <=50K
30.5, 40, 13, Private, America, *, *, *, *, Married-civ-spouse, >50K
30.5, 40, 13, Private, America, *, *, *, *, Married-civ-spouse, >50K
30.5, 40, 13, Private, America, *, *, *, *, Married-civ-spouse, >50K
42.5, 40, 14.5, *, United-States, *, White, *, *, Married-civ-spouse, <=50K
42.5, 40, 14.5, *, United-States, *, White, *, *, Married-civ-spouse, >50K
42.5, 40, 14.5, *, United-States, *, White, *, *, Married-civ-spouse, >50K
42.5, 40, 14.5, *, United-States, *, White, *, *, Married-civ-spouse, >50K
42.5, 40, 14.5, *, United-States, *, White, *, *, Married-civ-spouse, >50K
