age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, income, marital-status
40, 40, 13, Gov, *, Male, *, *, *, <=50K, Never-married
40, 40, 13, Gov, *, Male, *, *, *, <=50K, Married-civ-spouse
40, 40, 13, Gov, *, Male, *, *, *, <=50K, Never-married
40, 40, 13, Gov, *, Male, *, *, *, <=50K, Never-married
40, 40, 13, Gov, *, Male, *, *, *, <=50K, Married-civ-spouse
52.5, 21.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
52.5, 21.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
52.5, 21.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
52.5, 21.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
52.5, 21.5, 13, Self, United-States, Male, White, Husband, *, *, Married-civ-spouse
39, 40, 9, Private, North-America, Male, White, Not-in-family, manual-labor, <=50K, Divorced
39, 40, 9, Private, North-America, Male, White, Not-in-family, manual-labor, <=50K, Never-married
39, 40, 9, Private, North-America, Male, White, Not-in-family, manual-labor, <=50K, Divorced
39, 40, 9, Private, North-America, Male, White, Not-in-family, manual-labor, <=50K, Divorced
39, 40, 9, Private, North-America, Male, White, Not-in-family, manual-labor, <=50K, Never-married
56, 45, 7, Private, United-States, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
56, 45, 7, Private, United-States, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
56, 45, 7, Private, United-States, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
56, 45, 7, Private, United-States, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
56, 45, 7, Private, United-States, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
28, 40, 13, Private, America, Female, *, *, *, <=50K, Married-civ-spouse
28, 40, 13, Private, America, Female, *, *, *, <=50K, Never-married
28, 40, 13, Private, America, Female, *, *, *, <=50K, Never-married
28, 40, 13, Private, America, Female, *, *, *, <=50K, Never-married
28, 40, 13, Private, America, Female, *, *, *, <=50K, Never-married
41, 40, 14, Private, *, Female, *, *, *, <=50K, Married-civ-spouse
41, 40, 14, Private, *, Female, *, *, *, <=50K, Divorced
41, 40, 14, Private, *, Female, *, *, *, <=50K, Never-married
41, 40, 14, Private, *, Female, *, *, *, <=50K, Married-civ-spouse
41, 40, 14, Private, *, Female, *, *, *, <=50K, Never-married
52, 20.5, 5.5, Self, America, *, *, *, *, <=50K, Married-spouse-absent
52, 20.5, 5.5, Self, America, *, *, *, *, <=50K, Married-civ-spouse
52, 20.5, 5.5, Self, America, *, *, *, *, <=50K, Married-civ-spouse
52, 20.5, 5.5, Self, America, *, *, *, *, <=50K, Divorced
52, 20.5, 5.5, Self, America, *, *, *, *, <=50K, Married-civ-spouse
53, 47.5, 9, Self, United-States, Male, *, Husband, *, >50K, Married-civ-spouse
53, 47.5, 9, Self, United-States, Male, *, Husband, *, >50K, Married-civ-spouse
53, 47.5, 9, Self, United-States, Male, *, Husband, *, >50K, Married-civ-spouse
53, 47.5, 9, Self, United-States, Male, *, Husband, *, >50K, Married-civ-spouse
53, 47.5, 9, Self, United-States, Male, *, Husband, *, >50K, Married-civ-spouse
31, 50, 14, Self, United-States, Female, White, *, *, *, Never-married
31, 50, 14, Self, United-States, Female, White, *, *, *, Married-civ-spouse
31, 50, 14, Self, United-States, Female, White, *, *, *, Never-married
31, 50, 14, Self, United-States, Female, White, *, *, *, Never-married
31, 50, 14, Self, United-States, Female, White, *, *, *, Never-married
42, 40, 13, Private, United-States, Male, White, Husband, *, >50K, Married-civ-spouse
42, 40, 13, Private, United-States, Male, White, Husband, *, >50K, Married-civ-spouse
42, 40, 13, Private, United-States, Male, White, Husband, *, >50K, Married-civ-spouse
42, 40, 13, Private, United-States, Male, White, Husband, *, >50K, Married-civ-spouse
42, 40, 13, Private, United-States, Male, White, Husband, *, >50K, Married-civ-spouse
43, 80, 10, Self, *, Male, *, Husband, *, >50K, Married-civ-spouse
43, 80, 10, Self, *, Male, *, Husband, *, >50K, Married-civ-spouse
43, 80, 10, Self, *, Male, *, Husband, *, >50K, Married-civ-spouse
43, 80, 10, Self, *, Male, *, Husband, *, >50K, Married-civ-spouse
43, 80, 10, Self, *, Male, *, Husband, *, >50K, Married-civ-spouse
30, 40, 13, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
30, 40, 13, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
30, 40, 13, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
30, 40, 13, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
30, 40, 13, *, *, Male, *, Husband, *, >50K, Married-civ-spouse
24.5, 30, 13, Self, United-States, *, White, Own-child, *, <=50K, Never-married
24.5, 30, 13, Self, United-States, *, White, Own-child, *, <=50K, Never-married
24.5, 30, 13, Self, United-States, *, White, Own-child, *, <=50K, Never-married
24.5, 30, 13, Self, United-States, *, White, Own-child, *, <=50K, Never-married
24.5, 30, 13, Self, United-States, *, White, Own-child, *, <=50K, Never-married
34, 50, 12.5, Self, America, Male, *, Not-in-family, *, *, Never-married
34, 50, 12.5, Self, America, Male, *, Not-in-family, *, *, Divorced
34, 50, 12.5, Self, America, Male, *, Not-in-family, *, *, Married-civ-spouse
34, 50, 12.5, Self, America, Male, *, Not-in-family, *, *, Never-married
34, 50, 12.5, Self, America, Male, *, Not-in-family, *, *, Separated
34, 45, 4, Private, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
34, 45, 4, Private, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
34, 45, 4, Private, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
34, 45, 4, Private, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
34, 45, 4, Private, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
25, 37.5, 9, Self, United-States, Male, White, Own-child, *, <=50K, Never-married
25, 37.5, 9, Self, United-States, Male, White, Own-child, *, <=50K, Never-married
25, 37.5, 9, Self, United-States, Male, White, Own-child, *, <=50K, Never-married
25, 37.5, 9, Self, United-States, Male, White, Own-child, *, <=50K, Never-married
25, 37.5, 9, Self, United-States, Male, White, Own-child, *, <=50K, Never-married
32.5, 41, 9, Private, United-States, Male, White, Unmarried, *, <=50K, Never-married
32.5, 41, 9, Private, United-States, Male, White, Unmarried, *, <=50K, Never-married
32.5, 41, 9, Private, United-States, Male, White, Unmarried, *, <=50K, Divorced
32.5, 41, 9, Private, United-States, Male, White, Unmarried, *, <=50K, Divorced
32.5, 41, 9, Private, United-States, Male, White, Unmarried, *, <=50K, Married-spouse-absent
38, 50, 8, Private, United-States, Male, White, Husband, *, <=50K, Married-civ-spouse
38, 50, 8, Private, United-States, Male, White, Husband, *, <=50K, Married-civ-spouse
