age, hours-per-week, workclass, native-country, sex, race, relationship, occupation, marital-status, income, education-num
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 13
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 10
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 10
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 13
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 10
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 12
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 10
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 4
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 11
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 10
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 12
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 13
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 13
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 13
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 4
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 10
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 10
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 12
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 10
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 5
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 10
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 13
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 10
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 10
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 11
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 11
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 13
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 13
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 14
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 10
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 10
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 7
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 11
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 5
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 10
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 4
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 13
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 13
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 10
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 6
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 12
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 10
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 14
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 10
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 10
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 14
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 11
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 10
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 10
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 7
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 16
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 10
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 10
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 13
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 13
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 11
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 11
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 7
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 7
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 14
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 2
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 10
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 10
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 12
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 13
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 10
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 10
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 6
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
49.5, 40, *, *, *, White, Not-in-family, *, *, <=50K, 9
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 13
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 7
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 13
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 13
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 9
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 13
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 10
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 4
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 9
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 4
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 9
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 6
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 9
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 13
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 2
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 9
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 9
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 10
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 13
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 9
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 14
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 9
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 13
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 10
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 9
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 9
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 9
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 10
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 9
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 13
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 9
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 5
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 10
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 1
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 10
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 9
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 9
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 9
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 13
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 9
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 13
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 9
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 12
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 10
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 10
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 13
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 9
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 10
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 11
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 9
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 9
53, 26.5, *, *, Male, *, Husband, *, Married-civ-spouse, *, 9
