age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, income, marital-status
42.5, 45, 13, *, United-States, Male, White, *, *, *, Never-married
42.5, 45, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
42.5, 45, 13, *, United-States, Male, White, *, *, *, Divorced
42.5, 45, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
42.5, 45, 13, *, United-States, Male, White, *, *, *, Never-married
42.5, 45, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
42.5, 45, 13, *, United-States, Male, White, *, *, *, Divorced
42.5, 45, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
42.5, 45, 13, *, United-States, Male, White, *, *, *, Never-married
42.5, 45, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
42.5, 45, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
42.5, 45, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
42.5, 45, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
42.5, 45, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
42.5, 45, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
42.5, 45, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
42.5, 45, 13, *, United-States, Male, White, *, *, *, Never-married
42.5, 45, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
42.5, 45, 13, *, United-States, Male, White, *, *, *, Never-married
42.5, 45, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
42.5, 45, 13, *, United-States, Male, White, *, *, *, Never-married
42.5, 45, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
42.5, 45, 13, *, United-States, Male, White, *, *, *, Never-married
42.5, 45, 13, *, United-States, Male, White, *, *, *, Never-married
42.5, 45, 13, *, United-States, Male, White, *, *, *, Never-married
42.5, 45, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
42.5, 45, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
42.5, 45, 13, *, United-States, Male, White, *, *, *, Divorced
42.5, 45, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
42.5, 45, 13, *, United-States, Male, White, *, *, *, Never-married
42.5, 45, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
42.5, 45, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
42.5, 45, 13, *, United-States, Male, White, *, *, *, Never-married
42.5, 45, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
42.5, 45, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
42.5, 45, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
42.5, 45, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
42.5, 45, 13, *, United-States, Male, White, *, *, *, Never-married
42.5, 45, 13, *, United-States, Male, White, *, *, *, Divorced
42.5, 45, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
42.5, 45, 13, *, United-States, Male, White, *, *, *, Married-civ-spouse
