age, hours-per-week, workclass, native-country, sex, race, relationship, occupation, marital-status, income, education-num
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 13
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 7
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 7
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 13
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 12
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 13
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 14
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 11
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 12
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 11
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 14
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 5
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 13
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 14
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 12
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 14
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 13
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 13
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 12
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 13
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 13
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 11
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 4
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 13
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 11
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 6
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 13
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 13
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 3
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 12
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 14
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 14
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 11
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 7
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 11
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 13
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 6
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 13
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 13
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 13
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 13
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 10
49.5, 47.5, *, United-States, *, *, *, *, *, <=50K, 9
