age, hours-per-week, workclass, native-country, sex, race, relationship, occupation, marital-status, income, education-num
43.5, 40, *, America, Male, White, *, *, Never-married, <=50K, 13
43.5, 40, *, America, Male, White, *, *, Never-married, <=50K, 7
43.5, 40, *, America, Male, White, *, *, Never-married, <=50K, 11
43.5, 40, *, America, Male, White, *, *, Never-married, <=50K, 12
43.5, 40, *, America, Male, White, *, *, Never-married, <=50K, 9
43.5, 40, *, America, Male, White, *, *, Never-married, <=50K, 11
43.5, 40, *, America, Male, White, *, *, Never-married, <=50K, 13
43.5, 40, *, America, Male, White, *, *, Never-married, <=50K, 10
43.5, 40, *, America, Male, White, *, *, Never-married, <=50K, 13
43.5, 40, *, America, Male, White, *, *, Never-married, <=50K, 13
43.5, 40, *, America, Male, White, *, *, Never-married, <=50K, 9
43.5, 40, *, America, Male, White, *, *, Never-married, <=50K, 9
43.5, 40, *, America, Male, White, *, *, Never-married, <=50K, 10
43.5, 40, *, America, Male, White, *, *, Never-married, <=50K, 9
43.5, 40, *, America, Male, White, *, *, Never-married, <=50K, 7
43.5, 40, *, America, Male, White, *, *, Never-married, <=50K, 2
43.5, 40, *, America, Male, White, *, *, Never-married, <=50K, 9
43.5, 40, *, America, Male, White, *, *, Never-married, <=50K, 10
43.5, 40, *, America, Male, White, *, *, Never-married, <=50K, 9
43.5, 40, *, America, Male, White, *, *, Never-married, <=50K, 10
54.5, 16.5, *, America, *, *, *, *, *, *, 13
54.5, 16.5, *, America, *, *, *, *, *, *, 5
54.5, 16.5, *, America, *, *, *, *, *, *, 9
54.5, 16.5, *, America, *, *, *, *, *, *, 9
54.5, 16.5, *, America, *, *, *, *, *, *, 10
54.5, 16.5, *, America, *, *, *, *, *, *, 9
54.5, 16.5, *, America, *, *, *, *, *, *, 5
54.5, 16.5, *, America, *, *, *, *, *, *, 9
54.5, 16.5, *, America, *, *, *, *, *, *, 15
54.5, 16.5, *, America, *, *, *, *, *, *, 6
54.5, 16.5, *, America, *, *, *, *, *, *, 13
54.5, 16.5, *, America, *, *, *, *, *, *, 14
54.5, 16.5, *, America, *, *, *, *, *, *, 4
54.5, 16.5, *, America, *, *, *, *, *, *, 9
54.5, 16.5, *, America, *, *, *, *, *, *, 9
54.5, 16.5, *, America, *, *, *, *, *, *, 10
54.5, 16.5, *, America, *, *, *, *, *, *, 13
54.5, 16.5, *, America, *, *, *, *, *, *, 9
54.5, 16.5, *, America, *, *, *, *, *, *, 15
54.5, 16.5, *, America, *, *, *, *, *, *, 9
41, 40, *, United-States, Male, White, *, *, Divorced, *, 9
41, 40, *, United-States, Male, White, *, *, Divorced, *, 10
41, 40, *, United-States, Male, White, *, *, Divorced, *, 10
41, 40, *, United-States, Male, White, *, *, Divorced, *, 12
41, 40, *, United-States, Male, White, *, *, Divorced, *, 10
41, 40, *, United-States, Male, White, *, *, Divorced, *, 10
41, 40, *, United-States, Male, White, *, *, Divorced, *, 9
41, 40, *, United-States, Male, White, *, *, Divorced, *, 9
41, 40, *, United-States, Male, White, *, *, Divorced, *, 13
41, 40, *, United-States, Male, White, *, *, Divorced, *, 7
41, 40, *, United-States, Male, White, *, *, Divorced, *, 11
41, 40, *, United-States, Male, White, *, *, Divorced, *, 9
41, 40, *, United-States, Male, White, *, *, Divorced, *, 10
41, 40, *, United-States, Male, White, *, *, Divorced, *, 12
41, 40, *, United-States, Male, White, *, *, Divorced, *, 10
41, 40, *, United-States, Male, White, *, *, Divorced, *, 9
41, 40, *, United-States, Male, White, *, *, Divorced, *, 10
41, 40, *, United-States, Male, White, *, *, Divorced, *, 13
41, 40, *, United-States, Male, White, *, *, Divorced, *, 11
41, 40, *, United-States, Male, White, *, *, Divorced, *, 9
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 7
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 13
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 6
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 9
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 9
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 10
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 10
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 9
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 9
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 10
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 10
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 9
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 9
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 9
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 6
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 4
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 10
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 13
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 10
54, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 7
31.5, 40, Private, *, Female, *, *, *, Married-civ-spouse, *, 13
31.5, 40, Private, *, Female, *, *, *, Married-civ-spouse, *, 9
31.5, 40, Private, *, Female, *, *, *, Married-civ-spouse, *, 9
31.5, 40, Private, *, Female, *, *, *, Married-civ-spouse, *, 9
31.5, 40, Private, *, Female, *, *, *, Married-civ-spouse, *, 9
31.5, 40, Private, *, Female, *, *, *, Married-civ-spouse, *, 10
31.5, 40, Private, *, Female, *, *, *, Married-civ-spouse, *, 9
31.5, 40, Private, *, Female, *, *, *, Married-civ-spouse, *, 13
31.5, 40, Private, *, Female, *, *, *, Married-civ-spouse, *, 11
31.5, 40, Private, *, Female, *, *, *, Married-civ-spouse, *, 11
31.5, 40, Private, *, Female, *, *, *, Married-civ-spouse, *, 9
31.5, 40, Private, *, Female, *, *, *, Married-civ-spouse, *, 13
31.5, 40, Private, *, Female, *, *, *, Married-civ-spouse, *, 12
31.5, 40, Private, *, Female, *, *, *, Married-civ-spouse, *, 13
31.5, 40, Private, *, Female, *, *, *, Married-civ-spouse, *, 13
31.5, 40, Private, *, Female, *, *, *, Married-civ-spouse, *, 11
31.5, 40, Private, *, Female, *, *, *, Married-civ-spouse, *, 13
31.5, 40, Private, *, Female, *, *, *, Married-civ-spouse, *, 9
31.5, 40, Private, *, Female, *, *, *, Married-civ-spouse, *, 6
