age, hours-per-week, workclass, native-country, sex, race, relationship, occupation, marital-status, income, education-num
40, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 13
40, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 12
40, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 9
40, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 10
40, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 10
40, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 13
40, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 9
40, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 13
40, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 13
40, 40, *, United-States, Male, White, *, bureaucracy, *, <=50K, 10
53, 16.5, Self, United-States, *, *, *, *, *, <=50K, 13
53, 16.5, Self, United-States, *, *, *, *, *, <=50K, 9
53, 16.5, Self, United-States, *, *, *, *, *, <=50K, 9
53, 16.5, Self, United-States, *, *, *, *, *, <=50K, 9
53, 16.5, Self, United-States, *, *, *, *, *, <=50K, 5
53, 16.5, Self, United-States, *, *, *, *, *, <=50K, 9
53, 16.5, Self, United-States, *, *, *, *, *, <=50K, 6
53, 16.5, Self, United-States, *, *, *, *, *, <=50K, 4
53, 16.5, Self, United-States, *, *, *, *, *, <=50K, 9
53, 16.5, Self, United-States, *, *, *, *, *, <=50K, 15
39, 40, Private, North-America, Male, White, *, manual-labor, *, <=50K, 9
39, 40, Private, North-America, Male, White, *, manual-labor, *, <=50K, 10
39, 40, Private, North-America, Male, White, *, manual-labor, *, <=50K, 10
39, 40, Private, North-America, Male, White, *, manual-labor, *, <=50K, 10
39, 40, Private, North-America, Male, White, *, manual-labor, *, <=50K, 9
39, 40, Private, North-America, Male, White, *, manual-labor, *, <=50K, 9
39, 40, Private, North-America, Male, White, *, manual-labor, *, <=50K, 11
39, 40, Private, North-America, Male, White, *, manual-labor, *, <=50K, 10
39, 40, Private, North-America, Male, White, *, manual-labor, *, <=50K, 9
39, 40, Private, North-America, Male, White, *, manual-labor, *, <=50K, 9
53.5, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 7
53.5, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 13
53.5, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 9
53.5, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 9
53.5, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 10
53.5, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 9
53.5, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 9
53.5, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 9
53.5, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 13
53.5, 40, *, United-States, Male, *, Husband, *, Married-civ-spouse, <=50K, 7
29, 40, Private, *, Female, *, *, *, *, <=50K, 13
29, 40, Private, *, Female, *, *, *, *, <=50K, 10
29, 40, Private, *, Female, *, *, *, *, <=50K, 9
29, 40, Private, *, Female, *, *, *, *, <=50K, 9
29, 40, Private, *, Female, *, *, *, *, <=50K, 10
29, 40, Private, *, Female, *, *, *, *, <=50K, 11
29, 40, Private, *, Female, *, *, *, *, <=50K, 9
29, 40, Private, *, Female, *, *, *, *, <=50K, 14
29, 40, Private, *, Female, *, *, *, *, <=50K, 6
29, 40, Private, *, Female, *, *, *, *, <=50K, 6
37.5, 40, Private, United-States, *, White, *, bureaucracy, *, <=50K, 14
37.5, 40, Private, United-States, *, White, *, bureaucracy, *, <=50K, 10
37.5, 40, Private, United-States, *, White, *, bureaucracy, *, <=50K, 11
37.5, 40, Private, United-States, *, White, *, bureaucracy, *, <=50K, 6
37.5, 40, Private, United-States, *, White, *, bureaucracy, *, <=50K, 13
37.5, 40, Private, United-States, *, White, *, bureaucracy, *, <=50K, 9
37.5, 40, Private, United-States, *, White, *, bureaucracy, *, <=50K, 9
37.5, 40, Private, United-States, *, White, *, bureaucracy, *, <=50K, 13
37.5, 40, Private, United-States, *, White, *, bureaucracy, *, <=50K, 13
37.5, 40, Private, United-States, *, White, *, bureaucracy, *, <=50K, 9
52, 20.5, *, America, *, *, *, *, *, *, 5
52, 20.5, *, America, *, *, *, *, *, *, 7
52, 20.5, *, America, *, *, *, *, *, *, 3
52, 20.5, *, America, *, *, *, *, *, *, 9
52, 20.5, *, America, *, *, *, *, *, *, 10
52, 20.5, *, America, *, *, *, *, *, *, 12
52, 20.5, *, America, *, *, *, *, *, *, 13
52, 20.5, *, America, *, *, *, *, *, *, 9
52, 20.5, *, America, *, *, *, *, *, *, 13
