age, hours-per-week, education-num, workclass, native-country, sex, race, relationship, occupation, income, marital-status
42.5, 40, 13, *, United-States, Male, White, *, *, <=50K, Never-married
42.5, 40, 13, *, United-States, Male, White, *, *, <=50K, Divorced
42.5, 40, 13, *, United-States, Male, White, *, *, <=50K, Married-civ-spouse
42.5, 40, 13, *, United-States, Male, White, *, *, <=50K, Married-civ-spouse
42.5, 40, 13, *, United-States, Male, White, *, *, <=50K, Never-married
42.5, 40, 13, *, United-States, Male, White, *, *, <=50K, Never-married
42.5, 40, 13, *, United-States, Male, White, *, *, <=50K, Divorced
42.5, 40, 13, *, United-States, Male, White, *, *, <=50K, Married-civ-spouse
42.5, 40, 13, *, United-States, Male, White, *, *, <=50K, Never-married
42.5, 40, 13, *, United-States, Male, White, *, *, <=50K, Married-civ-spouse
42.5, 40, 13, *, United-States, Male, White, *, *, <=50K, Married-civ-spouse
42.5, 40, 13, *, United-States, Male, White, *, *, <=50K, Never-married
42.5, 40, 13, *, United-States, Male, White, *, *, <=50K, Married-civ-spouse
42.5, 40, 13, *, United-States, Male, White, *, *, <=50K, Married-civ-spouse
42.5, 40, 13, *, United-States, Male, White, *, *, <=50K, Married-civ-spouse
42.5, 40, 13, *, United-States, Male, White, *, *, <=50K, Divorced
42.5, 40, 13, *, United-States, Male, White, *, *, <=50K, Married-civ-spouse
42.5, 40, 13, *, United-States, Male, White, *, *, <=50K, Married-civ-spouse
42.5, 40, 13, *, United-States, Male, White, *, *, <=50K, Married-civ-spouse
42.5, 40, 13, *, United-States, Male, White, *, *, <=50K, Separated
54.5, 26.5, 13, *, United-States, Male, White, Husband, *, *, Married-civ-spouse
54.5, 26.5, 13, *, United-States, Male, White, Husband, *, *, Married-civ-spouse
54.5, 26.5, 13, *, United-States, Male, White, Husband, *, *, Married-civ-spouse
54.5, 26.5, 13, *, United-States, Male, White, Husband, *, *, Married-civ-spouse
54.5, 26.5, 13, *, United-States, Male, White, Husband, *, *, Married-civ-spouse
54.5, 26.5, 13, *, United-States, Male, White, Husband, *, *, Married-civ-spouse
54.5, 26.5, 13, *, United-States, Male, White, Husband, *, *, Married-civ-spouse
54.5, 26.5, 13, *, United-States, Male, White, Husband, *, *, Married-civ-spouse
54.5, 26.5, 13, *, United-States, Male, White, Husband, *, *, Married-civ-spouse
54.5, 26.5, 13, *, United-States, Male, White, Husband, *, *, Married-civ-spouse
54.5, 26.5, 13, *, United-States, Male, White, Husband, *, *, Married-civ-spouse
54.5, 26.5, 13, *, United-States, Male, White, Husband, *, *, Married-civ-spouse
54.5, 26.5, 13, *, United-States, Male, White, Husband, *, *, Married-civ-spouse
54.5, 26.5, 13, *, United-States, Male, White, Husband, *, *, Married-civ-spouse
54.5, 26.5, 13, *, United-States, Male, White, Husband, *, *, Married-civ-spouse
54.5, 26.5, 13, *, United-States, Male, White, Husband, *, *, Married-civ-spouse
54.5, 26.5, 13, *, United-States, Male, White, Husband, *, *, Married-civ-spouse
54.5, 26.5, 13, *, United-States, Male, White, Husband, *, *, Married-civ-spouse
54.5, 26.5, 13, *, United-States, Male, White, Husband, *, *, Married-civ-spouse
54.5, 26.5, 13, *, United-States, Male, White, Husband, *, *, Married-civ-spouse
42, 40, 9, *, *, Male, *, Not-in-family, *, <=50K, Divorced
42, 40, 9, *, *, Male, *, Not-in-family, *, <=50K, Never-married
42, 40, 9, *, *, Male, *, Not-in-family, *, <=50K, Divorced
42, 40, 9, *, *, Male, *, Not-in-family, *, <=50K, Separated
42, 40, 9, *, *, Male, *, Not-in-family, *, <=50K, Never-married
42, 40, 9, *, *, Male, *, Not-in-family, *, <=50K, Never-married
42, 40, 9, *, *, Male, *, Not-in-family, *, <=50K, Divorced
42, 40, 9, *, *, Male, *, Not-in-family, *, <=50K, Married-spouse-absent
42, 40, 9, *, *, Male, *, Not-in-family, *, <=50K, Separated
42, 40, 9, *, *, Male, *, Not-in-family, *, <=50K, Never-married
42, 40, 9, *, *, Male, *, Not-in-family, *, <=50K, Never-married
42, 40, 9, *, *, Male, *, Not-in-family, *, <=50K, Never-married
42, 40, 9, *, *, Male, *, Not-in-family, *, <=50K, Divorced
42, 40, 9, *, *, Male, *, Not-in-family, *, <=50K, Never-married
42, 40, 9, *, *, Male, *, Not-in-family, *, <=50K, Never-married
42, 40, 9, *, *, Male, *, Not-in-family, *, <=50K, Divorced
42, 40, 9, *, *, Male, *, Not-in-family, *, <=50K, Never-married
42, 40, 9, *, *, Male, *, Not-in-family, *, <=50K, Divorced
42, 40, 9, *, *, Male, *, Not-in-family, *, <=50K, Never-married
42, 40, 9, *, *, Male, *, Not-in-family, *, <=50K, Married-spouse-absent
62.5, 45, 7, Private, United-States, *, *, *, *, <=50K, Married-civ-spouse
62.5, 45, 7, Private, United-States, *, *, *, *, <=50K, Married-civ-spouse
62.5, 45, 7, Private, United-States, *, *, *, *, <=50K, Widowed
62.5, 45, 7, Private, United-States, *, *, *, *, <=50K, Widowed
62.5, 45, 7, Private, United-States, *, *, *, *, <=50K, Never-married
62.5, 45, 7, Private, United-States, *, *, *, *, <=50K, Married-civ-spouse
62.5, 45, 7, Private, United-States, *, *, *, *, <=50K, Divorced
