weight_category,k-factor,f1_score
bias,10,0.558506686323
bias,100,0.577263765092
bias,20,0.534027621956
bias,200,0.544620600255
bias,5,0.564630845525
bias,50,0.54483355807
iml,10,0.520936343166
iml,100,0.531995176634
iml,20,0.510655301323
iml,200,0.556280254819
iml,5,0.542636395222
iml,50,0.536985594851
bias,10,0.542492074747
bias,100,0.540035647116
bias,20,0.528961690879
bias,200,0.544002721994
bias,5,0.55451144241
bias,50,0.552840036078
iml,10,0.535788467721
iml,100,0.546346737762
iml,20,0.544475573904
iml,200,0.549561853581
iml,5,0.530651066867
iml,50,0.549530256857
bias,10,0.534921846619
bias,100,0.534478686636
bias,20,0.533909257313
bias,200,0.553110693948
bias,5,0.5342241091
bias,50,0.541153957914
iml,10,0.536765929886
iml,100,0.528495204722
iml,20,0.530917518035
iml,200,0.553665658443
iml,5,0.531448545797
iml,50,0.54023270555
bias,10,0.536846854037
bias,100,0.554789023761
bias,20,0.52050773322
bias,200,0.524741534705
bias,5,0.540293787893
bias,50,0.507333804522
iml,10,0.521265032075
iml,100,0.541633998988
iml,20,0.518026116682
iml,200,0.54628012659
iml,5,0.528570050642
iml,50,0.525991700985
bias,10,0.54616213548
bias,100,0.544875920825
bias,20,0.521838748374
bias,200,0.544037234306
bias,5,0.561084359201
bias,50,0.548276314554
iml,10,0.533425829222
iml,100,0.5511974639
iml,20,0.534607509951
iml,200,0.529286304168
iml,5,0.535201563332
iml,50,0.543946213412
bias,10,0.551320634286
bias,100,0.540306117239
bias,20,0.552309998074
bias,200,0.534936705152
bias,5,0.536216649418
bias,50,0.541117355762
iml,10,0.52797963278
iml,100,0.524753485468
iml,20,0.52530580526
iml,200,0.550036059521
iml,5,0.530796499729
iml,50,0.542231502524
bias,10,0.543713125024
bias,100,0.538045888535
bias,20,0.516201142371
bias,200,0.522734570724
bias,5,0.524378346183
bias,50,0.547159102865
iml,10,0.523558455308
iml,100,0.521979231044
iml,20,0.504472766573
iml,200,0.530577993222
iml,5,0.53046516843
iml,50,0.534183577014
bias,10,0.524044777436
bias,100,0.53640665471
bias,20,0.515141921336
bias,200,0.537760930296
bias,5,0.534423813527
bias,50,0.512530004958
iml,10,0.518090132141
iml,100,0.538194627522
iml,20,0.531227700973
iml,200,0.553444081322
iml,5,0.518777927037
iml,50,0.545046254002
bias,10,0.517101777533
bias,100,0.543061531643
bias,20,0.523997839981
bias,200,0.548168614361
bias,5,0.529879354145
bias,50,0.547213542621
iml,10,0.520421377296
iml,100,0.537173858263
iml,20,0.526403932208
iml,200,0.550797267272
iml,5,0.521024243732
iml,50,0.546468690449
bias,10,0.53377461776
bias,100,0.544581641254
bias,20,0.530775150999
bias,200,0.549603637681
bias,5,0.537883345955
bias,50,0.534907748668
iml,10,0.524986000753
iml,100,0.541299377114
iml,20,0.519949987426
iml,200,0.539145139708
iml,5,0.535604321843
iml,50,0.536717607086
bias,10,0.527120864717
bias,100,0.538794264203
bias,20,0.557475233385
bias,200,0.550334567007
bias,5,0.528836661147
bias,50,0.540264752531
iml,10,0.517826503765
iml,100,0.545073591546
iml,20,0.526157769981
iml,200,0.551561452956
iml,5,0.538022995793
iml,50,0.543906972734
bias,10,0.513313747364
bias,100,0.5326471455
bias,20,0.520872259244
bias,200,0.526183445045
bias,5,0.53194339614
bias,50,0.547342349502
iml,10,0.527342477666
iml,100,0.546104006387
iml,20,0.526085607001
iml,200,0.547053043771
iml,5,0.534047368764
iml,50,0.54880750213
bias,10,0.54363893733
bias,100,0.562451709683
bias,20,0.521877384292
bias,200,0.550346902683
bias,5,0.565271493173
bias,50,0.551564158479
iml,10,0.529995804836
iml,100,0.539646462862
iml,20,0.528583862475
iml,200,0.552453025241
iml,5,0.536434860073
iml,50,0.53399147699
bias,10,0.540396615821
bias,100,0.543382161712
bias,20,0.556423112761
bias,200,0.543928631606
bias,5,0.55054400351
bias,50,0.522396042433
iml,10,0.523363310446
iml,100,0.551943939156
iml,20,0.525835230124
iml,200,0.55118760645
iml,5,0.532044422737
iml,50,0.537383894494
bias,10,0.577254361471
bias,100,0.552217343565
bias,20,0.581499695923
bias,200,0.56410252203
bias,5,0.576188142513
bias,50,0.573109069917
iml,10,0.527242425859
iml,100,0.534154786225
iml,20,0.526942954688
iml,200,0.547718243372
iml,5,0.524997778127
iml,50,0.543245159548
bias,10,0.534153429056
bias,100,0.548942378348
bias,20,0.530899978275
bias,200,0.542293760235
bias,5,0.528731235444
bias,50,0.540486601116
iml,10,0.533151166707
iml,100,0.543054442404
iml,20,0.519939615153
iml,200,0.55359584754
iml,5,0.543378323477
iml,50,0.544090307018
bias,10,0.527514737185
bias,100,0.54069661078
bias,20,0.52499034974
bias,200,0.533771962336
bias,5,0.526117928268
bias,50,0.53187799503
