weight_category,k-factor,f1_score
bias,10,0.780606679404
bias,100,0.815918965346
bias,20,0.781256429042
bias,200,0.788204490023
bias,5,0.781428916881
bias,50,0.802764810307
iml,10,0.807509565273
iml,100,0.812527304847
iml,20,0.793393383493
iml,200,0.788313513413
iml,5,0.789283409466
iml,50,0.803464587302
bias,10,0.79161181761
bias,100,0.815779790725
bias,20,0.786437636629
bias,200,0.788546747148
bias,5,0.78709036595
bias,50,0.793210366709
iml,10,0.7915670958
iml,100,0.809221823969
iml,20,0.791897101091
iml,200,0.78629295452
iml,5,0.794956323655
iml,50,0.796923301542
bias,10,0.777817561025
bias,100,0.808931851482
bias,20,0.786641533922
bias,200,0.786956365462
bias,5,0.77505359923
bias,50,0.806821874057
iml,10,0.803926450689
iml,100,0.810877754992
iml,20,0.789804298026
iml,200,0.788123133052
iml,5,0.792011550431
iml,50,0.795479774502
bias,10,0.788974755524
bias,100,0.817055238719
bias,20,0.805869839859
bias,200,0.78874599181
bias,5,0.78098235898
bias,50,0.81647585052
iml,10,0.802417322781
iml,100,0.815621058355
iml,20,0.786527135948
iml,200,0.788398899367
iml,5,0.78381905145
iml,50,0.803799407397
bias,10,0.784661262086
bias,100,0.815575033184
bias,20,0.790893296996
bias,200,0.78821288983
bias,5,0.782829028854
bias,50,0.801145812201
iml,10,0.795169014688
iml,100,0.808651827849
iml,20,0.793705226763
iml,200,0.786959776264
iml,5,0.796424409736
iml,50,0.801041926164
bias,10,0.791288928953
bias,100,0.816164689628
bias,20,0.78690977546
bias,200,0.788936426818
bias,5,0.786470864726
bias,50,0.809064965997
iml,10,0.799227848309
iml,100,0.80907516614
iml,20,0.792611988899
iml,200,0.787216860394
iml,5,0.794162871624
iml,50,0.79288429284
bias,10,0.783591474414
bias,100,0.800487873828
bias,20,0.787209674868
bias,200,0.786556842936
bias,5,0.780689158376
bias,50,0.792115058087
iml,10,0.797515176394
iml,100,0.808868460516
iml,20,0.80258645058
iml,200,0.788310701096
iml,5,0.785773669762
iml,50,0.786910895012
bias,10,0.782072807358
bias,100,0.813058772188
bias,20,0.805903363183
bias,200,0.788355336668
bias,5,0.780522950648
bias,50,0.805204092856
iml,10,0.792158958683
iml,100,0.806122702845
iml,20,0.796301018078
iml,200,0.786170394156
iml,5,0.803019796912
iml,50,0.79730818599
bias,10,0.774112163001
bias,100,0.812641653354
bias,20,0.789569571804
bias,200,0.805041056576
bias,5,0.787670459216
bias,50,0.798853649759
iml,10,0.790375314942
iml,100,0.808907555111
iml,20,0.792671879691
iml,200,0.786258921076
iml,5,0.789518974604
iml,50,0.792949139136
bias,10,0.795744309854
bias,100,0.798414652357
bias,20,0.79946842317
bias,200,0.78673536076
bias,5,0.786222249049
bias,50,0.809826125338
iml,10,0.803435814763
iml,100,0.807732845101
iml,20,0.796912463436
iml,200,0.787956304369
iml,5,0.791929907613
iml,50,0.796590880345
bias,10,0.793955534236
bias,100,0.802092591775
bias,20,0.794559249045
bias,200,0.786327368208
bias,5,0.779015137094
bias,50,0.79679561906
iml,10,0.796597360053
iml,100,0.805357149828
iml,20,0.788582739765
iml,200,0.786511607688
iml,5,0.792938526486
iml,50,0.789468389859
bias,10,0.783855862466
bias,100,0.798907053565
bias,20,0.789878446356
bias,200,0.785254675611
bias,5,0.784721958393
bias,50,0.802970291486
iml,10,0.788715763697
iml,100,0.808971987586
iml,20,0.786781526686
iml,200,0.786383262432
iml,5,0.797638735093
iml,50,0.793770080983
bias,10,0.778013523818
bias,100,0.814500625658
bias,20,0.804330750619
bias,200,0.782163989394
bias,5,0.77638712065
bias,50,0.794702141761
iml,10,0.803439179366
iml,100,0.804981336966
iml,20,0.799866651211
iml,200,0.786783444338
iml,5,0.792651688194
iml,50,0.811269348373
bias,10,0.788657680378
bias,100,0.807409050761
bias,20,0.788132875663
bias,200,0.786200284997
bias,5,0.806184735424
bias,50,0.809452574241
iml,10,0.7940229992
iml,100,0.809180177564
iml,20,0.792201341284
iml,200,0.786358862778
iml,5,0.800948737048
iml,50,0.790949030808
bias,10,0.787241718894
bias,100,0.805005394495
bias,20,0.797674223838
bias,200,0.786149214051
bias,5,0.793132853588
bias,50,0.801458470797
iml,10,0.795545750047
iml,100,0.80982161583
iml,20,0.789462498478
iml,200,0.776922874206
iml,5,0.794406944764
iml,50,0.800420524878
bias,10,0.780283532791
bias,100,0.799132962899
bias,20,0.786064138108
bias,200,0.785743093555
bias,5,0.799187601727
bias,50,0.801117308053
iml,10,0.796667694814
iml,100,0.805165274085
iml,20,0.798086489162
iml,200,0.786371561774
iml,5,0.796057461132
iml,50,0.79777193628
bias,10,0.784116526355
bias,100,0.807681249005
bias,20,0.801002518401
bias,200,0.787980536476
bias,5,0.796678058625
bias,50,0.788465604038
iml,10,0.802186731549
iml,100,0.811959051913
iml,20,0.791737605096
iml,200,0.788404823708
iml,5,0.798854672046
iml,50,0.807062976346
bias,10,0.795958995655
bias,100,0.809502662918
bias,20,0.797549410289
bias,200,0.785306646064
bias,5,0.790701103905
bias,50,0.809734249363
iml,10,0.796987037467
iml,100,0.808783336164
iml,20,0.799826115899
iml,200,0.786351831503
iml,5,0.801754337437
iml,50,0.798301206881
equal,10,0.793271079522
equal,100,0.808955361187
equal,20,0.797064812266
equal,200,0.786150126671
equal,5,0.795458573877
equal,50,0.796298094113
