weight_category,k-factor,f1_score
bias,10,0.743192481374
bias,100,0.727492988562
bias,20,0.724026857544
bias,200,0.643010224682
bias,5,0.759100611688
bias,50,0.737308980542
iml,10,0.672001888317
iml,100,0.66556009548
iml,20,0.679575883474
iml,200,0.653047046727
iml,5,0.682555071177
iml,50,0.691070031361
bias,10,0.794344743071
bias,100,0.764621945253
bias,20,0.788208779622
bias,200,0.712290831763
bias,5,0.799012601544
bias,50,0.793130732912
iml,10,0.665442511793
iml,100,0.663725626375
iml,20,0.66372873963
iml,200,0.653272477992
iml,5,0.665513344861
iml,50,0.684309366873
bias,10,0.711863158883
bias,100,0.706370444791
bias,20,0.707087507265
bias,200,0.633697885455
bias,5,0.724000188522
bias,50,0.711167758312
iml,10,0.675100711354
iml,100,0.673896116828
iml,20,0.684953874315
iml,200,0.653420895386
iml,5,0.699891258018
iml,50,0.673374608713
bias,10,0.733878048815
bias,100,0.701953906929
bias,20,0.731537349183
bias,200,0.627974241735
bias,5,0.728729346407
bias,50,0.725838747062
iml,10,0.669606677786
iml,100,0.64617038839
iml,20,0.670328197313
iml,200,0.653636155055
iml,5,0.664275864061
iml,50,0.671684833641
bias,10,0.676048678028
bias,100,0.665607702602
bias,20,0.674875016095
bias,200,0.652042862447
bias,5,0.703964636087
bias,50,0.690629701631
iml,10,0.676381931923
iml,100,0.663775281022
iml,20,0.674901995976
iml,200,0.653000154448
iml,5,0.688832404553
iml,50,0.689012653461
bias,10,0.754303193455
bias,100,0.7075967546
bias,20,0.754367331135
bias,200,0.656278197879
bias,5,0.757685180704
bias,50,0.747099523491
iml,10,0.656862772856
iml,100,0.661886659657
iml,20,0.678579052346
iml,200,0.653911712031
iml,5,0.659836111609
iml,50,0.679643814217
bias,10,0.655800817123
bias,100,0.669112660105
bias,20,0.671194522581
bias,200,0.667448386881
bias,5,0.659248539188
bias,50,0.691233539486
iml,10,0.658376484728
iml,100,0.659111621973
iml,20,0.66903676571
iml,200,0.65359350808
iml,5,0.672081535268
iml,50,0.685526520498
bias,10,0.660268923101
bias,100,0.658048331308
bias,20,0.667559540958
bias,200,0.65321815848
bias,5,0.671651958901
bias,50,0.67351848269
iml,10,0.658180536171
iml,100,0.660343092762
iml,20,0.675983038108
iml,200,0.650542316058
iml,5,0.662098054673
iml,50,0.6822400931
bias,10,0.667462191839
bias,100,0.64917155711
bias,20,0.685532477512
bias,200,0.641883411242
bias,5,0.677600693813
bias,50,0.673772182993
iml,10,0.666714601837
iml,100,0.666177364347
iml,20,0.655798029457
iml,200,0.654042386073
iml,5,0.683674228683
iml,50,0.680027563887
bias,10,0.666389018064
bias,100,0.64914119094
bias,20,0.666942980017
bias,200,0.6534918436
bias,5,0.670005976993
bias,50,0.673999780005
iml,10,0.65160120799
iml,100,0.660520261861
iml,20,0.666836769249
iml,200,0.6535840786
iml,5,0.656738148483
iml,50,0.674922850095
bias,10,0.669210528659
bias,100,0.665033982314
bias,20,0.664600737403
bias,200,0.649423771353
bias,5,0.682385582868
bias,50,0.686842669225
iml,10,0.653322341131
iml,100,0.667270961912
iml,20,0.675950197465
iml,200,0.653457091163
iml,5,0.673410744026
iml,50,0.667337398302
bias,10,0.755720333986
bias,100,0.720009370195
