weight_category,k-factor,f1_score
bias,10,0.571671104215
bias,100,0.555040458055
bias,20,0.559768640868
bias,200,0.539353520738
bias,5,0.577646588739
bias,50,0.546254093859
iml,10,0.537592446056
iml,100,0.522254350298
iml,20,0.539562270486
iml,200,0.536875396183
iml,5,0.547449692568
iml,50,0.529709982071
bias,10,0.563508988676
bias,100,0.516766778369
bias,20,0.542325844609
bias,200,0.545867478939
bias,5,0.576187950288
bias,50,0.552831181168
iml,10,0.536348608998
iml,100,0.53435427556
iml,20,0.537570253312
iml,200,0.556272559742
iml,5,0.546843535847
iml,50,0.548316815702
bias,10,0.535985793809
bias,100,0.508233438009
bias,20,0.538512803282
bias,200,0.554987388868
bias,5,0.542271972245
bias,50,0.527755049188
iml,10,0.533891355205
iml,100,0.544679705242
iml,20,0.543783670202
iml,200,0.547719642458
iml,5,0.549827847034
iml,50,0.520993949847
bias,10,0.553418765298
bias,100,0.559005087503
bias,20,0.542032278558
bias,200,0.541834536908
bias,5,0.551715185193
bias,50,0.531672579278
iml,10,0.548525550557
iml,100,0.523874960042
iml,20,0.552008664439
iml,200,0.551559693554
iml,5,0.550851472319
iml,50,0.53024338345
bias,10,0.560935942649
bias,100,0.515561246511
bias,20,0.54472815679
bias,200,0.527156449954
bias,5,0.574775161434
bias,50,0.544693955527
iml,10,0.537548505278
iml,100,0.52088647909
iml,20,0.526007244485
iml,200,0.518308258414
iml,5,0.547976109801
iml,50,0.544015214335
bias,10,0.562906040928
bias,100,0.526329961498
bias,20,0.553578548357
bias,200,0.536052460191
bias,5,0.560846731595
bias,50,0.549474415098
iml,10,0.534151497749
iml,100,0.538901997469
iml,20,0.539780107716
iml,200,0.541968289351
iml,5,0.551219389385
iml,50,0.522447499652
bias,10,0.545799224399
bias,100,0.542321465713
bias,20,0.532849377085
bias,200,0.527126442402
bias,5,0.545230431793
bias,50,0.541189773931
iml,10,0.541763851905
iml,100,0.527844207612
iml,20,0.532756948734
iml,200,0.533529484476
iml,5,0.558626960032
iml,50,0.533284033212
bias,10,0.536405963784
bias,100,0.5410150381
bias,20,0.530532808746
bias,200,0.505314950424
bias,5,0.537307209119
bias,50,0.541700290073
iml,10,0.527097195668
iml,100,0.537934830838
iml,20,0.534890300304
iml,200,0.546270077432
iml,5,0.545727150689
iml,50,0.531307308835
bias,10,0.539100989205
bias,100,0.568487976373
bias,20,0.536172153452
bias,200,0.527231710503
bias,5,0.545656615456
bias,50,0.535435375944
iml,10,0.540751086785
iml,100,0.565550038718
iml,20,0.54337732565
iml,200,0.537233293694
iml,5,0.548542245104
iml,50,0.532070918388
bias,10,0.545475856252
bias,100,0.528565280376
bias,20,0.557744515932
bias,200,0.556589231227
bias,5,0.555426102604
bias,50,0.523030723711
iml,10,0.534796174487
iml,100,0.540019141823
iml,20,0.544226372815
iml,200,0.550506518268
iml,5,0.552273149506
iml,50,0.530066813877
bias,10,0.530377343374
bias,100,0.523583116708
bias,20,0.541298040501
bias,200,0.538158546082
bias,5,0.569185804447
bias,50,0.549388887271
iml,10,0.531455671147
iml,100,0.54391020135
iml,20,0.547998456937
iml,200,0.548362334205
iml,5,0.548457301985
iml,50,0.526479986398
bias,10,0.522928178973
bias,100,0.5615581258
bias,20,0.538488169385
bias,200,0.54461229075
bias,5,0.552741526932
bias,50,0.538892982152
iml,10,0.534372253886
iml,100,0.516163640484
iml,20,0.538681538628
iml,200,0.541990577041
iml,5,0.554007620292
iml,50,0.53126193558
bias,10,0.568925169507
bias,100,0.533498005729
