weight_category,k-factor,f1_score
bias,10,0.809990365531
bias,100,0.81385951379
bias,20,0.81763206033
bias,200,0.822916949145
bias,5,0.800636446355
bias,50,0.814516834348
iml,10,0.813368630963
iml,100,0.820312452084
iml,20,0.807438759625
iml,200,0.831820109461
iml,5,0.801386434579
iml,50,0.816688893788
bias,10,0.813913859625
bias,100,0.820775145511
bias,20,0.806578095906
bias,200,0.830580978163
bias,5,0.805252132404
bias,50,0.803870510326
iml,10,0.797975836627
iml,100,0.791312758199
iml,20,0.808775056571
iml,200,0.851356032857
iml,5,0.810727090508
iml,50,0.798542786515
bias,10,0.805653851727
bias,100,0.820182421429
bias,20,0.824008283424
bias,200,0.830067606603
bias,5,0.805449222212
bias,50,0.826305417276
iml,10,0.809830997406
iml,100,0.819472778525
iml,20,0.807406930021
iml,200,0.831890827965
iml,5,0.811659663792
iml,50,0.803639511496
bias,10,0.805664150694
bias,100,0.820622339693
bias,20,0.810070370881
bias,200,0.831868817129
bias,5,0.814241613074
bias,50,0.815061284776
iml,10,0.810188476161
iml,100,0.814162097155
iml,20,0.803807539119
iml,200,0.825892770885
iml,5,0.804706321972
iml,50,0.798967197003
bias,10,0.809162247769
bias,100,0.813949507726
bias,20,0.80866339124
bias,200,0.839004027087
bias,5,0.799963836677
bias,50,0.8013267234
iml,10,0.802994430624
iml,100,0.791844529595
iml,20,0.804246337397
iml,200,0.839146331853
iml,5,0.807527390377
iml,50,0.806767351961
bias,10,0.809251015364
bias,100,0.819560426861
bias,20,0.813982935424
bias,200,0.806960414743
bias,5,0.808380184196
bias,50,0.804700003458
iml,10,0.804900112386
iml,100,0.809403762003
iml,20,0.817984758943
iml,200,0.831658538991
iml,5,0.809828523193
iml,50,0.794585238048
bias,10,0.819139726588
bias,100,0.813010509357
bias,20,0.805624068685
bias,200,0.829354298812
bias,5,0.80500480053
bias,50,0.817521315333
iml,10,0.807927010089
iml,100,0.802334397889
iml,20,0.820393043766
iml,200,0.831818302365
iml,5,0.807264328133
iml,50,0.802245139992
bias,10,0.809977489184
bias,100,0.809040825251
bias,20,0.797788198046
bias,200,0.83175512015
bias,5,0.809574803522
bias,50,0.811271756261
iml,10,0.806856127661
iml,100,0.799459135765
iml,20,0.81297040148
iml,200,0.829331781766
iml,5,0.802897864645
iml,50,0.804629142974
bias,10,0.807533528642
bias,100,0.82386938603
bias,20,0.808616552153
bias,200,0.851150525507
bias,5,0.810803402954
bias,50,0.799622421669
iml,10,0.811546018359
iml,100,0.808951397012
iml,20,0.812134306929
iml,200,0.835757299247
iml,5,0.809273951181
iml,50,0.808036051416
bias,10,0.802457084509
bias,100,0.82139099002
bias,20,0.799500577373
bias,200,0.830139495591
bias,5,0.804209861458
bias,50,0.811508511116
iml,10,0.802590817066
iml,100,0.802761912673
iml,20,0.810751470531
iml,200,0.828878399665
iml,5,0.805888897503
iml,50,0.78885506733
bias,10,0.804724456339
bias,100,0.814215732058
bias,20,0.806425900846
bias,200,0.829949622257
bias,5,0.805578921189
bias,50,0.809306613699
iml,10,0.817519966407
iml,100,0.798226737202
iml,20,0.8094654157
iml,200,0.81734730947
iml,5,0.806506406304
iml,50,0.790680483275
bias,10,0.803391511413
bias,100,0.828555954976
bias,20,0.818078798374
bias,200,0.825808571131
bias,5,0.800757950086
bias,50,0.803700535769
iml,10,0.799230483091
iml,100,0.802787400128
iml,20,0.81544975896
iml,200,0.844253645055
iml,5,0.809265733033
iml,50,0.809777264679
bias,10,0.807378824823
bias,100,0.835028652777
bias,20,0.809576212125
bias,200,0.808840057625
bias,5,0.807942277412
bias,50,0.808605669008
iml,10,0.81172242061
iml,100,0.802200801833
iml,20,0.806963520701
iml,200,0.829408273507
iml,5,0.813485844296
iml,50,0.808719614396
bias,10,0.807292153114
bias,100,0.800615429462
bias,20,0.811565521001
bias,200,0.82995983328
bias,5,0.815289525376
bias,50,0.799852034164
iml,10,0.813709253303
iml,100,0.809891039859
iml,20,0.807954696739
iml,200,0.833940436761
iml,5,0.812132624112
iml,50,0.803717956319
bias,10,0.803136514312
bias,100,0.819496874549
bias,20,0.812762603514
bias,200,0.81566213691
bias,5,0.812253127132
bias,50,0.820502972978
iml,10,0.811422476961
iml,100,0.803140573131
iml,20,0.815905507187
iml,200,0.851264943363
iml,5,0.813246026156
iml,50,0.803199018078
bias,10,0.805742869721
bias,100,0.829098956237
bias,20,0.809525352619
bias,200,0.824690441626
bias,5,0.811912957397
bias,50,0.817712701232
iml,10,0.816958242757
iml,100,0.800332106354
iml,20,0.817301247438
iml,200,0.818142524382
iml,5,0.803422423222
iml,50,0.808834447717
bias,10,0.813142302421
bias,100,0.807954797112
bias,20,0.8163241567
bias,200,0.82323791053
bias,5,0.814900187848
bias,50,0.820952494873
iml,10,0.80950629407
iml,100,0.819634646485
iml,20,0.80283582958
iml,200,0.830014402992
iml,5,0.803795304237
iml,50,0.812939675488
bias,10,0.809772609936
bias,100,0.79165888879
bias,20,0.811044852364
bias,200,0.829788666964
bias,5,0.80964298501
bias,50,0.806138313585
iml,10,0.806145457866
iml,100,0.810589869579
iml,20,0.811888161217
iml,200,0.83990717297
iml,5,0.809039438747
iml,50,0.812419250104
equal,10,0.81003696712
equal,100,0.811141119176
equal,20,0.813544711767
equal,200,0.836045430225
equal,5,0.809953586018
equal,50,0.802498502186
