weight_category,k-factor,f1_score
bias,10,0.773083539525
bias,100,0.710839653151
bias,20,0.75611739731
bias,200,0.586768902492
bias,5,0.794713341076
bias,50,0.748234618563
iml,10,0.710425422865
iml,100,0.667163470846
iml,20,0.706362427276
iml,200,0.608497380166
iml,5,0.73530573933
iml,50,0.680735690978
bias,10,0.806951411853
bias,100,0.698398729227
bias,20,0.789183312205
bias,200,0.683430095663
bias,5,0.822055741677
bias,50,0.801786900593
iml,10,0.705527041086
iml,100,0.662175210751
iml,20,0.684792211789
iml,200,0.574463077398
iml,5,0.722691986658
iml,50,0.667451287259
bias,10,0.752594892188
bias,100,0.687520210261
bias,20,0.726793954799
bias,200,0.606072803283
bias,5,0.7683348186
bias,50,0.71305925371
iml,10,0.706348673498
iml,100,0.651672177465
iml,20,0.709240269351
iml,200,0.612652957159
iml,5,0.733822465708
iml,50,0.686576948957
bias,10,0.754857516937
bias,100,0.695050943907
bias,20,0.742149830494
bias,200,0.56507882828
bias,5,0.769420702612
bias,50,0.736474924208
iml,10,0.695686495704
iml,100,0.651173139859
iml,20,0.69548359013
iml,200,0.584237420768
iml,5,0.721114160546
iml,50,0.672148880242
bias,10,0.721673772717
bias,100,0.661544955625
bias,20,0.699728438736
bias,200,0.610829252841
bias,5,0.749035569441
bias,50,0.704975510149
iml,10,0.709486130636
iml,100,0.667482905032
iml,20,0.694521883815
iml,200,0.60878400432
iml,5,0.741094353594
iml,50,0.681454757896
bias,10,0.775851504012
bias,100,0.692634578674
bias,20,0.764855978402
bias,200,0.623309993044
bias,5,0.784705652324
bias,50,0.723408151882
iml,10,0.683548647431
iml,100,0.650502628696
iml,20,0.689115812713
iml,200,0.588728682712
iml,5,0.716415669022
iml,50,0.668886351508
bias,10,0.70724822603
bias,100,0.648465950019
bias,20,0.693677299339
bias,200,0.629749134074
bias,5,0.72325240858
bias,50,0.691852463212
iml,10,0.696895514439
iml,100,0.655840541723
iml,20,0.689690640585
iml,200,0.628298920539
iml,5,0.718864621873
iml,50,0.688880423186
bias,10,0.700950672929
bias,100,0.657554201954
bias,20,0.680554659088
bias,200,0.598699031769
bias,5,0.715076502353
bias,50,0.685558296169
iml,10,0.687647191473
iml,100,0.645482124053
iml,20,0.684659838351
iml,200,0.588678339654
iml,5,0.712211053782
iml,50,0.669300830628
bias,10,0.694592579502
bias,100,0.660989164699
bias,20,0.698914608479
bias,200,0.610811709529
bias,5,0.71731999356
bias,50,0.686004613078
iml,10,0.697313972675
iml,100,0.656535662229
iml,20,0.684931854116
iml,200,0.631149478604
iml,5,0.727188248839
iml,50,0.679228892302
bias,10,0.697200000645
bias,100,0.639527776793
bias,20,0.692611018378
bias,200,0.618598282529
bias,5,0.722463125553
bias,50,0.683897296615
iml,10,0.693646788061
iml,100,0.656305525711
iml,20,0.693750594578
iml,200,0.574305481281
iml,5,0.710950209037
iml,50,0.663361971611
bias,10,0.695616500433
bias,100,0.681196970457
bias,20,0.696577256928
bias,200,0.614932790443
bias,5,0.73406392073
bias,50,0.680983745151
iml,10,0.688348559488
iml,100,0.662706719445
iml,20,0.688298871469
iml,200,0.607310360174
iml,5,0.715169465999
iml,50,0.692898152546
bias,10,0.774404377968
bias,100,0.69994189067
bias,20,0.771202579812
bias,200,0.598591326539
bias,5,0.790817870985
bias,50,0.747285570636
iml,10,0.694862611987
iml,100,0.646464131547
iml,20,0.689192026694
iml,200,0.582411254382
iml,5,0.705572674268
iml,50,0.674145446715
bias,10,0.748864645965
bias,100,0.678229376303
bias,20,0.73438806401
bias,200,0.606373754443
bias,5,0.768844973949
bias,50,0.729761735787
iml,10,0.701262595442
iml,100,0.669072534451
iml,20,0.687839553644
iml,200,0.617905042818
iml,5,0.737610863839
iml,50,0.686780284545
bias,10,0.684145575897
bias,100,0.627549985507
bias,20,0.677160161691
bias,200,0.608154271253
bias,5,0.706536469811
bias,50,0.652774197295
iml,10,0.693074183583
iml,100,0.634412836345
iml,20,0.689793521399
iml,200,0.598985829489
iml,5,0.709116591864
iml,50,0.66599826356
bias,10,0.768303139399
bias,100,0.708291640683
bias,20,0.76528294505
bias,200,0.611692389142
bias,5,0.78920185047
bias,50,0.731927656636
iml,10,0.715440373788
iml,100,0.668027801839
iml,20,0.703280094176
iml,200,0.60736472329
iml,5,0.732928278381
iml,50,0.685730944331
bias,10,0.760295483563
bias,100,0.696439722764
bias,20,0.72518239452
bias,200,0.564862334999
bias,5,0.772257701296
bias,50,0.74442195211
iml,10,0.702952214059
iml,100,0.666844743091
iml,20,0.706239478638
iml,200,0.60868309653
iml,5,0.733746595064
iml,50,0.691580750397
bias,10,0.809756987639
bias,100,0.735695120079
bias,20,0.78630911248
bias,200,0.688217778259
bias,5,0.818055045537
bias,50,0.800723690454
iml,10,0.704971400906
iml,100,0.649913647333
iml,20,0.690033577575
iml,200,0.575599111877
iml,5,0.719172796003
iml,50,0.667234245417
bias,10,0.755665764761
bias,100,0.710303947508
bias,20,0.75044618099
bias,200,0.565836643686
bias,5,0.769661183227
bias,50,0.731741516003
iml,10,0.700362479771
iml,100,0.670238524115
iml,20,0.697922343405
iml,200,0.612787463026
iml,5,0.735807603715
iml,50,0.681880957693
bias,10,0.728330398742
bias,100,0.654851108919
bias,20,0.691751339931
bias,200,0.621223508718
bias,5,0.747311124429
bias,50,0.689300152562
iml,10,0.702391968866
iml,100,0.668921029584
iml,20,0.679078883128
iml,200,0.616944269911
iml,5,0.725982676374
iml,50,0.682110141396
bias,10,0.681890332421
bias,100,0.596835463069
bias,20,0.680365855765
bias,200,0.600563576973
bias,5,0.698698249324
bias,50,0.650004683467
iml,10,0.700063843886
iml,100,0.643588844238
iml,20,0.689797784383
iml,200,0.60972572626
iml,5,0.708858811323
iml,50,0.683156203903
bias,10,0.727180342714
bias,100,0.610958301214
bias,20,0.718450017727
bias,200,0.622739068143
bias,5,0.764516811147
bias,50,0.69408107828
iml,10,0.700321558853
iml,100,0.67165769515
iml,20,0.6998983563
iml,200,0.617662739317
