weight_category,k-factor,f1_score
bias,10,0.375161473239
bias,100,0.343679628525
bias,20,0.339491228601
bias,200,0.332917112034
bias,5,0.414095385518
bias,50,0.325966718114
iml,10,0.364686253898
iml,100,0.324178787915
iml,20,0.321474374822
iml,200,0.363366623749
iml,5,0.364909513687
iml,50,0.294083101729
bias,10,0.379447064614
bias,100,0.329995652802
bias,20,0.364595808348
bias,200,0.298529721887
bias,5,0.404447761502
bias,50,0.361013802107
iml,10,0.343475215652
iml,100,0.303947100127
iml,20,0.344245890215
iml,200,0.32290977255
iml,5,0.368233497816
iml,50,0.344930639834
bias,10,0.354308048837
bias,100,0.338907473371
bias,20,0.362287391804
bias,200,0.322377428236
bias,5,0.410239422292
bias,50,0.351689694021
iml,10,0.323428509467
iml,100,0.289949294191
iml,20,0.336171577814
iml,200,0.343912269661
iml,5,0.388669210166
iml,50,0.313958748232
bias,10,0.375669408633
bias,100,0.337030955172
bias,20,0.37980940776
bias,200,0.298119882827
bias,5,0.405040867524
bias,50,0.31532210288
iml,10,0.353524598879
iml,100,0.295861988942
iml,20,0.36347597803
iml,200,0.335733470245
iml,5,0.37367593252
iml,50,0.297692906447
bias,10,0.398898729543
bias,100,0.354069577106
bias,20,0.333376175594
bias,200,0.292242423948
bias,5,0.416955825928
bias,50,0.313699977822
iml,10,0.364407065145
iml,100,0.336905986003
iml,20,0.330257629396
iml,200,0.304593447492
iml,5,0.381067996178
iml,50,0.328769796716
bias,10,0.370285323921
bias,100,0.320369929366
bias,20,0.377659980078
bias,200,0.318674162268
bias,5,0.417705110121
bias,50,0.371112919501
iml,10,0.363451723101
iml,100,0.295881215571
iml,20,0.308618639418
iml,200,0.33216391093
iml,5,0.394016630354
iml,50,0.287337148712
bias,10,0.338602761379
bias,100,0.313025431317
bias,20,0.316693700649
bias,200,0.32754267672
bias,5,0.39476948396
bias,50,0.305863199698
iml,10,0.343914898183
iml,100,0.265923606073
iml,20,0.328365815399
iml,200,0.321954176488
iml,5,0.397828996911
iml,50,0.304581878157
bias,10,0.350401926004
bias,100,0.367725959875
bias,20,0.284091329113
bias,200,0.301066852927
bias,5,0.395006352327
bias,50,0.323704314405
iml,10,0.34577978146
iml,100,0.299525266602
iml,20,0.332646395907
iml,200,0.352893097375
iml,5,0.403793526395
iml,50,0.325823410273
bias,10,0.355625764769
bias,100,0.304308448314
bias,20,0.345915779293
bias,200,0.313222172291
bias,5,0.399825603053
bias,50,0.326702462911
iml,10,0.348638776899
iml,100,0.316088675278
iml,20,0.33348437135
iml,200,0.304622677541
iml,5,0.38298379656
iml,50,0.335042852691
bias,10,0.375433086836
bias,100,0.33382096227
bias,20,0.354303021802
bias,200,0.315545166685
bias,5,0.398891242653
bias,50,0.358022900897
iml,10,0.353189266086
iml,100,0.339939872007
iml,20,0.321707029508
iml,200,0.375759875723
iml,5,0.36711462977
iml,50,0.280634139009
bias,10,0.372812093195
bias,100,0.303997355553
bias,20,0.354238819777
bias,200,0.302416813799
bias,5,0.399832270926
bias,50,0.360362866042
iml,10,0.366424352073
iml,100,0.331437547049
iml,20,0.346153495593
iml,200,0.31770487522
iml,5,0.395065634351
iml,50,0.300615271417
bias,10,0.332374249007
bias,100,0.325799590123
bias,20,0.314449275575
bias,200,0.291025915877
bias,5,0.375495365657
bias,50,0.319275058998
iml,10,0.345374799004
iml,100,0.310828024011
iml,20,0.301078832517
iml,200,0.341544751822
iml,5,0.376272805642
iml,50,0.308842890122
bias,10,0.39245737642
bias,100,0.317770012602
bias,20,0.32546043955
bias,200,0.315397325255
bias,5,0.427454346957
bias,50,0.357994695063
iml,10,0.331255577273
iml,100,0.313532509946
iml,20,0.315794298336
iml,200,0.333974625731
iml,5,0.38174878225
iml,50,0.326986137002
bias,10,0.342843674855
bias,100,0.376089143914
bias,20,0.364719651066
bias,200,0.333031839887
bias,5,0.392172121392
bias,50,0.341339916332
iml,10,0.339522678162
iml,100,0.326006635359
iml,20,0.324640019241
iml,200,0.334450515163
iml,5,0.377654559661
iml,50,0.311347933885
bias,10,0.378612175192
bias,100,0.317023832083
bias,20,0.417729554146
bias,200,0.303439890434
bias,5,0.454576009393
bias,50,0.358887814872
iml,10,0.34362522944
iml,100,0.358291514442
iml,20,0.35983140251
iml,200,0.332318343179
iml,5,0.401103475915
iml,50,0.342908697085
bias,10,0.372096734142
bias,100,0.330390636832
bias,20,0.314199648568
bias,200,0.335188126419
bias,5,0.406778382263
bias,50,0.340104514146
iml,10,0.364098814307
iml,100,0.317482140133
iml,20,0.330150202762
iml,200,0.346992766641
iml,5,0.382856066534
iml,50,0.299927821366
bias,10,0.380840849956
bias,100,0.317652400617
bias,20,0.330064313876
bias,200,0.236270958891
bias,5,0.393919891881
bias,50,0.312401574818
iml,10,0.367593635168
iml,100,0.281768180012
iml,20,0.346404072891
iml,200,0.319315023915
iml,5,0.385652435658
iml,50,0.2945887015
bias,10,0.357929643675
bias,100,0.333348053902
bias,20,0.316629894916
bias,200,0.294471286589
bias,5,0.412390047093
bias,50,0.306524492479
iml,10,0.365940818096
iml,100,0.329422752367
iml,20,0.342144091559
iml,200,0.331952902825
iml,5,0.381184174408
iml,50,0.317659848941
bias,10,0.423036027668
bias,100,0.357597911218
bias,20,0.388055058816
bias,200,0.326192425574
bias,5,0.460637609182
bias,50,0.385013561784
iml,10,0.352149230532
iml,100,0.293704945769
iml,20,0.332624564452
iml,200,0.231660245662
iml,5,0.37941814288
iml,50,0.335216734124
bias,10,0.368606984522
bias,100,0.324116335967
bias,20,0.367517751374
bias,200,0.318781895356
bias,5,0.421175597882
bias,50,0.355194854619
iml,10,0.361018746337
iml,100,0.347138659151
iml,20,0.323747117462
iml,200,0.346537012159
iml,5,0.384799852193
iml,50,0.32597975233
bias,10,0.367641896012
bias,100,0.345628711711
bias,20,0.378832136587
bias,200,0.346973614069
bias,5,0.423271104021
bias,50,0.346749577086
iml,10,0.363220055427
iml,100,0.323452528427
iml,20,0.318574317506
iml,200,0.342047968508
iml,5,0.391512746545
iml,50,0.289105988208
equal,10,0.341385915294
equal,100,0.30520044474
equal,20,0.356507643998
equal,200,0.318295710655
equal,5,0.381936434184
equal,50,0.332517101937
