weight_category,k-factor,f1_score
bias,10,0.710094045757
bias,100,0.675996799018
bias,20,0.702543449944
bias,200,0.665013439677
bias,5,0.726157958284
bias,50,0.695120917857
iml,10,0.72897580665
iml,100,0.653694879791
iml,20,0.718182603178
iml,200,0.740091678722
iml,5,0.751582610214
iml,50,0.702023461489
bias,10,0.739946377422
bias,100,0.6691119063
bias,20,0.719390067394
bias,200,0.673342238764
bias,5,0.759321632705
bias,50,0.698739490386
iml,10,0.744946207536
iml,100,0.677444175335
iml,20,0.741578530485
iml,200,0.68853540518
iml,5,0.761509490572
iml,50,0.703026166667
bias,10,0.706142316868
bias,100,0.637510408461
bias,20,0.70471127688
bias,200,0.673794363764
bias,5,0.728496093468
bias,50,0.703075111485
iml,10,0.725917631532
iml,100,0.662544390317
iml,20,0.714666031317
iml,200,0.692782955043
iml,5,0.749648892006
iml,50,0.701251516301
bias,10,0.7142023837
bias,100,0.660062383617
bias,20,0.704247240524
bias,200,0.680853924163
bias,5,0.734887717655
bias,50,0.681688262
iml,10,0.731838424651
iml,100,0.666815400154
iml,20,0.727234937486
iml,200,0.740643604907
iml,5,0.755416771715
iml,50,0.713984730244
bias,10,0.72707143619
bias,100,0.654112151305
bias,20,0.706836311224
bias,200,0.659349508197
bias,5,0.745497522376
bias,50,0.698565025161
iml,10,0.743625025879
iml,100,0.703944686075
iml,20,0.733184368792
iml,200,0.668419181701
iml,5,0.750843549588
iml,50,0.696348670066
bias,10,0.718632944475
bias,100,0.676442201863
bias,20,0.714808710561
bias,200,0.678463671729
bias,5,0.730658998133
bias,50,0.704303945763
iml,10,0.740982584962
iml,100,0.676158746958
iml,20,0.730907316888
iml,200,0.734640949465
iml,5,0.755807910978
iml,50,0.692074778103
bias,10,0.706169182842
bias,100,0.635231215845
bias,20,0.710230558018
bias,200,0.727922233542
bias,5,0.72623160653
bias,50,0.696992764165
iml,10,0.737577451702
iml,100,0.686245624312
iml,20,0.72487666387
iml,200,0.728310541276
iml,5,0.761354397182
iml,50,0.701451271463
bias,10,0.726081021227
bias,100,0.645501228557
bias,20,0.718027700908
bias,200,0.718451219299
bias,5,0.744481867701
bias,50,0.709031647784
iml,10,0.741860770312
iml,100,0.710760535002
iml,20,0.736393674913
iml,200,0.66225480229
iml,5,0.756592138385
iml,50,0.697008970215
bias,10,0.718084382046
bias,100,0.664526587779
bias,20,0.695094336338
bias,200,0.656090672623
bias,5,0.735987657731
bias,50,0.704423385275
iml,10,0.735187965935
iml,100,0.696413549373
iml,20,0.734289926935
iml,200,0.677126861073
iml,5,0.759940256247
iml,50,0.687177251551
bias,10,0.717917815167
bias,100,0.64687986976
bias,20,0.733752819393
bias,200,0.717696735224
bias,5,0.741992327167
bias,50,0.694708211784
iml,10,0.731790660737
iml,100,0.677589532615
iml,20,0.73041535179
iml,200,0.6647684186
iml,5,0.752033595245
iml,50,0.695000453326
bias,10,0.734217605254
bias,100,0.641202519529
bias,20,0.727812230922
bias,200,0.686088452893
bias,5,0.749288388137
bias,50,0.698635280653
iml,10,0.736616863069
iml,100,0.70452583722
iml,20,0.725769469026
iml,200,0.649694942859
iml,5,0.74796215059
iml,50,0.709252226186
bias,10,0.70807591785
bias,100,0.627793098038
bias,20,0.683427192812
bias,200,0.635803918613
bias,5,0.723620254428
bias,50,0.693496647512
iml,10,0.738534416422
iml,100,0.674170362567
iml,20,0.71647929112
iml,200,0.67467142877
iml,5,0.761542646651
iml,50,0.694251756574
bias,10,0.698168269186
bias,100,0.641900728966
bias,20,0.684556542766
bias,200,0.649646675544
bias,5,0.722468132715
bias,50,0.69757692139
iml,10,0.747420873065
iml,100,0.693151025414
iml,20,0.742390696512
iml,200,0.651056937154
iml,5,0.752351618805
iml,50,0.705602515281
bias,10,0.734080483487
bias,100,0.678761478487
bias,20,0.723148782841
bias,200,0.666493511788
bias,5,0.761524461632
bias,50,0.699045609545
iml,10,0.735876466982
iml,100,0.701892084992
iml,20,0.719318056701
iml,200,0.677203860602
iml,5,0.765038568202
iml,50,0.688713852162
bias,10,0.723785315222
bias,100,0.682732215113
bias,20,0.717998017117
bias,200,0.668227514299
bias,5,0.758476458418
bias,50,0.693706761047
iml,10,0.737024567611
iml,100,0.714433341646
iml,20,0.74173628101
iml,200,0.685089880938
iml,5,0.761854291702
iml,50,0.710002951444
bias,10,0.722013450535
bias,100,0.640763924515
bias,20,0.696322087769
bias,200,0.664049461115
bias,5,0.742244403611
bias,50,0.693967636892
iml,10,0.732596950482
iml,100,0.686161711919
iml,20,0.723599277218
iml,200,0.649635677963
iml,5,0.755200807395
iml,50,0.70401264166
bias,10,0.738091688567
bias,100,0.681889016348
bias,20,0.721284163906
bias,200,0.654915422782
bias,5,0.754610300178
bias,50,0.690837926535
iml,10,0.732598425916
iml,100,0.658588590661
iml,20,0.728422495155
iml,200,0.740239894576
iml,5,0.746838126836
iml,50,0.711789458021
bias,10,0.711180944718
bias,100,0.666324604949
bias,20,0.690167042374
bias,200,0.64724691699
bias,5,0.722254876067
bias,50,0.707479433325
iml,10,0.735300352259
iml,100,0.695656318649
iml,20,0.726978643295
iml,200,0.674024863994
iml,5,0.759336186596
iml,50,0.691437583121
equal,10,0.741627550944
equal,100,0.702859569572
equal,20,0.729506207724
equal,200,0.681790216857
equal,5,0.762284140326
equal,50,0.690337234654
