weight_category,k-factor,f1_score
bias,10,0.591818682812
bias,100,0.435082559273
bias,20,0.522385697977
bias,200,0.368609664379
bias,5,0.649458335762
bias,50,0.542517421252
iml,10,0.503918418083
iml,100,0.378731545963
iml,20,0.496759408439
iml,200,0.33830528074
iml,5,0.549584820791
iml,50,0.446840623305
bias,10,0.667048917624
bias,100,0.505614315463
bias,20,0.604007293409
bias,200,0.532741917717
bias,5,0.705469802193
bias,50,0.654818506915
iml,10,0.436912532444
iml,100,0.428036833734
iml,20,0.426735474535
iml,200,0.355141745723
iml,5,0.506641086022
iml,50,0.424865290111
bias,10,0.555993255364
bias,100,0.406369786623
bias,20,0.517132756083
bias,200,0.404616491783
bias,5,0.605143698782
bias,50,0.488599660991
iml,10,0.501440612059
iml,100,0.448688614492
iml,20,0.450411306254
iml,200,0.326521880583
iml,5,0.563422192963
iml,50,0.474218182681
bias,10,0.578596109789
bias,100,0.379221425969
bias,20,0.49651848812
bias,200,0.380388065774
bias,5,0.612048236516
bias,50,0.439102283784
iml,10,0.466683396861
iml,100,0.278146965755
iml,20,0.435260912478
iml,200,0.324495736264
iml,5,0.556648286327
iml,50,0.382096243937
bias,10,0.493158458908
bias,100,0.428926062275
bias,20,0.423657290138
bias,200,0.317574333633
bias,5,0.558799966813
bias,50,0.429689841845
iml,10,0.485748630097
iml,100,0.370717574347
iml,20,0.441830773946
iml,200,0.334268101143
iml,5,0.534909353917
iml,50,0.435983555606
bias,10,0.603974101376
bias,100,0.46083486245
bias,20,0.583752563333
bias,200,0.404135876204
bias,5,0.653456470315
bias,50,0.531025077604
iml,10,0.474082215063
iml,100,0.354090519461
iml,20,0.454846778577
iml,200,0.326671521011
iml,5,0.498278007712
iml,50,0.431672958619
bias,10,0.474916083964
bias,100,0.350252826153
bias,20,0.447264660216
bias,200,0.262477032056
bias,5,0.537525574251
bias,50,0.427288425602
iml,10,0.454024553342
iml,100,0.33541267467
iml,20,0.446201379166
iml,200,0.313345780323
iml,5,0.519580067513
iml,50,0.476014745047
bias,10,0.457008547586
bias,100,0.385673595138
bias,20,0.417867871287
bias,200,0.428845870149
bias,5,0.505397583276
bias,50,0.456154562396
iml,10,0.449370140644
iml,100,0.338562459675
iml,20,0.450114392968
iml,200,0.326233666216
iml,5,0.519291723935
iml,50,0.437773733274
bias,10,0.461195744178
bias,100,0.395145266486
bias,20,0.460617765847
bias,200,0.307686821959
bias,5,0.527093341241
bias,50,0.502341928595
iml,10,0.486933211086
iml,100,0.363232260822
iml,20,0.460013740043
iml,200,0.307590713707
iml,5,0.550385274005
iml,50,0.439284824215
bias,10,0.469898682799
bias,100,0.367014036157
bias,20,0.481313594726
bias,200,0.361001100977
bias,5,0.52619171037
bias,50,0.452715988015
iml,10,0.449373071187
iml,100,0.388256981464
iml,20,0.391923790028
iml,200,0.359975396041
iml,5,0.506487458998
iml,50,0.374286484634
bias,10,0.501019531368
bias,100,0.410639441797
