weight_category,k-factor,f1_score
bias,10,0.545740668477
bias,100,0.571645476688
bias,20,0.533494706581
bias,200,0.551691046188
bias,5,0.537947446799
bias,50,0.545870466807
iml,10,0.519284520763
iml,100,0.534423158855
iml,20,0.529998764316
iml,200,0.554526988386
iml,5,0.508141756319
iml,50,0.54568483455
bias,10,0.54124487105
bias,100,0.537341170925
bias,20,0.522015140393
bias,200,0.539318686585
bias,5,0.50770455529
bias,50,0.558299335499
iml,10,0.520674777529
iml,100,0.540993078495
iml,20,0.530642004208
iml,200,0.550449904524
iml,5,0.508786508148
iml,50,0.549155214546
bias,10,0.521310775526
bias,100,0.543114980713
bias,20,0.517599722843
bias,200,0.553470051815
bias,5,0.505726655323
bias,50,0.544080396544
iml,10,0.511066765381
iml,100,0.529854680582
iml,20,0.518821171853
iml,200,0.55523185833
iml,5,0.506116588988
iml,50,0.526467873047
bias,10,0.52197686274
bias,100,0.550764731092
bias,20,0.511543146685
bias,200,0.515404211676
bias,5,0.502399251648
bias,50,0.512194616434
iml,10,0.514609271848
iml,100,0.535994022275
iml,20,0.515905291012
iml,200,0.548011059597
iml,5,0.49165810693
iml,50,0.531510072409
bias,10,0.527362746044
bias,100,0.549664796249
bias,20,0.532518452688
bias,200,0.54292857273
bias,5,0.534109584548
bias,50,0.542791741844
iml,10,0.525523331957
iml,100,0.538153670734
iml,20,0.533798748608
iml,200,0.526892174947
iml,5,0.505648601328
iml,50,0.552014438195
bias,10,0.541564052663
bias,100,0.542708302202
bias,20,0.553778800853
bias,200,0.535163839741
bias,5,0.515644236115
bias,50,0.540440569096
iml,10,0.525547521274
iml,100,0.528695115439
iml,20,0.525177042606
iml,200,0.553128768062
iml,5,0.502813652776
iml,50,0.537075873504
bias,10,0.530264896056
bias,100,0.533034606786
bias,20,0.523986450813
bias,200,0.516274668449
bias,5,0.497356065142
bias,50,0.534831867007
iml,10,0.516190282383
iml,100,0.526165326999
iml,20,0.509432457704
iml,200,0.533492374266
iml,5,0.512463373029
iml,50,0.535795420428
bias,10,0.499820374366
bias,100,0.53015089989
bias,20,0.51034755707
bias,200,0.532608908545
bias,5,0.499228663982
bias,50,0.503129802551
iml,10,0.514024731752
iml,100,0.525168110835
iml,20,0.518792049065
iml,200,0.553266111261
iml,5,0.49531697322
iml,50,0.541144990269
bias,10,0.518584991313
bias,100,0.540837059781
bias,20,0.524692627723
bias,200,0.543190036005
bias,5,0.507579247045
bias,50,0.551429952907
iml,10,0.518718681053
iml,100,0.54602414694
iml,20,0.521510267519
iml,200,0.545847719342
iml,5,0.506110823632
iml,50,0.540389623831
bias,10,0.526915484475
bias,100,0.546200872199
bias,20,0.521409551877
bias,200,0.547018029779
bias,5,0.513379742756
bias,50,0.536162170671
iml,10,0.504778149777
iml,100,0.551035418857
iml,20,0.519107718894
iml,200,0.546356882831
iml,5,0.499451964072
iml,50,0.531252430792
bias,10,0.527308621952
bias,100,0.544175367943
bias,20,0.544678567868
bias,200,0.546963686319
bias,5,0.51148784564
bias,50,0.556486908415
iml,10,0.515527540995
iml,100,0.542677161121
iml,20,0.524292560718
iml,200,0.551597306153
iml,5,0.515548301657
iml,50,0.544513526081
bias,10,0.504946762835
bias,100,0.526432091008
bias,20,0.520622010938
bias,200,0.519722582104
bias,5,0.492091703652
bias,50,0.541781727665
iml,10,0.52931015316
iml,100,0.540858356253
iml,20,0.51626174536
iml,200,0.551145100912
iml,5,0.494656462704
iml,50,0.540483662217
bias,10,0.552570689914
bias,100,0.556223158846
bias,20,0.514057310175
bias,200,0.549521961857
bias,5,0.531447615264
bias,50,0.552818527602
iml,10,0.528866995584
iml,100,0.537378222953
iml,20,0.527541829866
iml,200,0.555996501902
iml,5,0.506759415953
iml,50,0.540395814964
bias,10,0.523386513355
bias,100,0.551678123684
bias,20,0.558620431051
bias,200,0.550961628822
bias,5,0.525752302429
bias,50,0.523172864177
iml,10,0.521836957653
iml,100,0.539836854718
iml,20,0.511127395391
iml,200,0.551564032227
iml,5,0.504195690595
iml,50,0.533466118342
bias,10,0.549683633819
bias,100,0.556087212072
bias,20,0.587950492859
bias,200,0.556634869542
bias,5,0.541514154928
bias,50,0.573789462169
iml,10,0.516396188186
iml,100,0.53900283377
iml,20,0.519008478689
iml,200,0.541574107106
iml,5,0.496755992607
iml,50,0.53184866696
bias,10,0.523818981108
bias,100,0.543930504152
bias,20,0.526575045986
bias,200,0.542137451729
bias,5,0.501704455441
bias,50,0.539867129174
iml,10,0.532621173662
iml,100,0.524011302113
iml,20,0.513663869521
iml,200,0.554129673648
iml,5,0.509132563471
iml,50,0.539375974834
bias,10,0.521013174724
bias,100,0.532667799881
bias,20,0.524932893775
bias,200,0.530686646072
bias,5,0.494419386998
bias,50,0.534822397426
iml,10,0.517246311107
iml,100,0.548566135595
iml,20,0.511714889366
iml,200,0.538117196604
iml,5,0.497471333581
iml,50,0.538240193023
bias,10,0.520810894349
bias,100,0.53482738208
bias,20,0.530190536801
bias,200,0.519119138048
bias,5,0.509436134589
bias,50,0.54952936551
iml,10,0.517952975888
iml,100,0.55850329156
iml,20,0.507796363248
iml,200,0.524994281344
iml,5,0.511728526532
iml,50,0.541104437742
bias,10,0.56276082485
bias,100,0.5646740146
bias,20,0.544161617791
bias,200,0.585508134922
bias,5,0.553835037484
bias,50,0.561588019718
iml,10,0.498870863995
iml,100,0.54846468946
iml,20,0.515567354627
iml,200,0.532886499376
iml,5,0.49829402799
iml,50,0.536296720296
bias,10,0.526824451007
bias,100,0.540319905478
bias,20,0.551477258535
bias,200,0.551036601186
bias,5,0.531533091994
bias,50,0.54558599381
iml,10,0.517076068014
iml,100,0.538243696277
iml,20,0.524442186298
iml,200,0.547625584781
iml,5,0.50837668984
iml,50,0.54567513579
bias,10,0.5418543645
bias,100,0.533097414637
bias,20,0.536446694446
bias,200,0.559343581073
bias,5,0.522175038495
bias,50,0.544364355412
iml,10,0.51694629619
iml,100,0.534952241004
iml,20,0.5126035852
iml,200,0.550947707214
iml,5,0.502927468929
iml,50,0.542818060684
equal,10,0.517399440727
equal,100,0.547398046375
equal,20,0.523717802029
equal,200,0.547485376513
equal,5,0.502955967427
equal,50,0.539292076679
