weight_category,k-factor,f1_score
bias,10,0.779613335416
bias,100,0.815761699491
bias,20,0.773906824626
bias,200,0.787865429258
bias,5,0.752411133848
bias,50,0.808703796857
iml,10,0.786993835721
iml,100,0.811239603148
iml,20,0.790912840351
iml,200,0.788421744715
iml,5,0.772621860105
iml,50,0.807330956804
bias,10,0.789673715861
bias,100,0.815692141339
bias,20,0.786234426907
bias,200,0.788698132054
bias,5,0.781787313933
bias,50,0.797848611163
iml,10,0.791788975731
iml,100,0.808973573007
iml,20,0.789292371315
iml,200,0.786689046174
iml,5,0.780294567456
iml,50,0.796858320478
bias,10,0.778725348438
bias,100,0.806552127207
bias,20,0.78180620148
bias,200,0.786729601023
bias,5,0.757466213723
bias,50,0.804188616558
iml,10,0.798295723908
iml,100,0.811124916915
iml,20,0.785466753584
iml,200,0.788793250262
iml,5,0.768037751097
iml,50,0.793477550865
bias,10,0.778848785461
bias,100,0.816913058603
bias,20,0.796438352951
bias,200,0.789033889245
bias,5,0.753192087929
bias,50,0.804169245159
iml,10,0.804183707247
iml,100,0.815617417146
iml,20,0.776192620389
iml,200,0.788055420063
iml,5,0.770871538413
iml,50,0.800824770112
bias,10,0.769592360795
bias,100,0.80845364711
bias,20,0.788310491995
bias,200,0.788534376203
bias,5,0.757038392041
bias,50,0.801456239669
iml,10,0.788231177466
iml,100,0.808512190651
iml,20,0.795188890548
iml,200,0.78680662479
iml,5,0.777926742466
iml,50,0.805174952692
bias,10,0.778942143406
bias,100,0.816309534606
bias,20,0.789724634421
bias,200,0.789508809674
bias,5,0.765263929752
bias,50,0.810130419358
iml,10,0.791376910684
iml,100,0.806875099464
iml,20,0.791207582821
iml,200,0.787201168404
iml,5,0.780891753784
iml,50,0.795192026151
bias,10,0.770581779208
bias,100,0.799103186567
bias,20,0.78624527069
bias,200,0.786481938114
bias,5,0.759431163534
bias,50,0.798909618613
iml,10,0.790806235615
iml,100,0.809409643695
iml,20,0.800778960543
iml,200,0.787875919581
iml,5,0.767193147288
iml,50,0.793655651677
bias,10,0.767231642156
bias,100,0.811934407521
bias,20,0.800123575852
bias,200,0.78805350867
bias,5,0.757603408303
bias,50,0.810588494064
iml,10,0.790554729188
iml,100,0.805869737871
iml,20,0.791025383721
iml,200,0.786388907956
iml,5,0.783527725049
iml,50,0.799248846894
bias,10,0.7576268356
bias,100,0.802817305484
bias,20,0.789624774132
bias,200,0.80517533503
bias,5,0.763380354433
bias,50,0.802850873035
iml,10,0.785351694328
iml,100,0.809161612082
iml,20,0.797374303596
iml,200,0.786430361049
iml,5,0.78637105016
iml,50,0.791408360376
bias,10,0.79589543342
bias,100,0.799639287462
bias,20,0.796764632772
bias,200,0.786134748892
bias,5,0.761544589581
bias,50,0.805565073053
iml,10,0.794188914361
iml,100,0.807111023534
iml,20,0.790826082207
iml,200,0.788199292299
iml,5,0.779488040363
iml,50,0.801534645159
bias,10,0.783257882225
bias,100,0.802458700974
bias,20,0.789249155588
bias,200,0.786188323223
bias,5,0.762616120282
bias,50,0.795118299311
iml,10,0.791427741032
iml,100,0.805245703598
iml,20,0.782888018944
iml,200,0.786352922756
iml,5,0.77610149428
iml,50,0.799930812951
bias,10,0.778054976303
bias,100,0.798886428558
bias,20,0.786619473751
bias,200,0.785008096824
bias,5,0.751014500435
bias,50,0.802975874983
iml,10,0.787102198813
iml,100,0.808928219005
iml,20,0.791239967384
iml,200,0.786363815213
iml,5,0.780130903381
iml,50,0.7956993572
bias,10,0.765282424874
bias,100,0.811511760112
bias,20,0.805027406721
bias,200,0.779648452845
bias,5,0.744817502216
bias,50,0.800338304563
iml,10,0.788467505494
iml,100,0.804193042601
iml,20,0.800321834735
iml,200,0.786371376829
iml,5,0.777374989691
iml,50,0.807713032937
bias,10,0.776888334333
bias,100,0.807239279415
bias,20,0.791233429979
bias,200,0.786315923829
bias,5,0.790593313923
bias,50,0.806667045346
iml,10,0.783473877419
iml,100,0.80480866669
iml,20,0.798528522386
iml,200,0.786283872113
iml,5,0.782417472476
iml,50,0.794751497246
bias,10,0.779330657964
bias,100,0.800508288042
bias,20,0.790582195192
bias,200,0.785637464742
bias,5,0.765753280983
bias,50,0.797106231172
iml,10,0.779795700198
iml,100,0.804948216848
iml,20,0.789188231375
iml,200,0.782984630163
iml,5,0.784914108053
iml,50,0.802135629298
bias,10,0.775134208494
bias,100,0.796032063841
bias,20,0.78720840353
bias,200,0.785762041197
bias,5,0.769229732939
bias,50,0.797003215023
iml,10,0.79270581294
iml,100,0.805183660867
iml,20,0.794559197207
iml,200,0.786026046446
iml,5,0.777048846926
iml,50,0.804733112568
bias,10,0.787062163464
bias,100,0.807747265827
bias,20,0.797583699484
bias,200,0.788069909779
bias,5,0.795806796241
bias,50,0.78650913393
iml,10,0.798498839132
iml,100,0.809716435817
iml,20,0.790115348951
iml,200,0.787964978609
iml,5,0.772771048483
iml,50,0.8070282387
bias,10,0.784822724819
bias,100,0.809562678574
bias,20,0.795939344932
bias,200,0.785343755024
bias,5,0.765446242892
bias,50,0.810403828287
iml,10,0.778459599858
iml,100,0.809366115131
iml,20,0.794856292812
iml,200,0.786437305954
iml,5,0.777153013409
iml,50,0.792102285301
equal,10,0.782394090475
equal,100,0.809140316187
equal,20,0.795430109963
equal,200,0.786375461038
equal,5,0.777012455483
equal,50,0.793076939162
