weight_category,k-factor,f1_score
bias,10,0.731491669793
bias,100,0.727134249473
bias,20,0.722204789174
bias,200,0.643766428362
bias,5,0.751295710147
bias,50,0.740302732674
iml,10,0.66949200353
iml,100,0.667566331436
iml,20,0.677906385072
iml,200,0.653249319509
iml,5,0.67253123278
iml,50,0.69507843729
bias,10,0.785911793648
bias,100,0.761882663804
bias,20,0.788612896295
bias,200,0.709156634261
bias,5,0.787442651036
bias,50,0.796247602717
iml,10,0.652145542207
iml,100,0.661903564311
iml,20,0.658717473424
iml,200,0.653264553776
iml,5,0.647863462777
iml,50,0.675227647982
bias,10,0.714290335241
bias,100,0.707982311135
bias,20,0.702132463458
bias,200,0.638419935714
bias,5,0.722647254711
bias,50,0.711534059399
iml,10,0.666568054251
iml,100,0.671884943246
iml,20,0.677640927007
iml,200,0.653154910636
iml,5,0.685278543882
iml,50,0.67179128124
bias,10,0.734865358187
bias,100,0.702918263111
bias,20,0.718596323286
bias,200,0.630857560654
bias,5,0.725473818497
bias,50,0.727339716137
iml,10,0.662668418744
iml,100,0.642453861992
iml,20,0.666646371347
iml,200,0.65405952362
iml,5,0.642777791948
iml,50,0.669335339508
bias,10,0.674713320384
bias,100,0.664896188239
bias,20,0.676712109819
bias,200,0.644136798077
bias,5,0.678034858237
bias,50,0.684289228999
iml,10,0.663934279661
iml,100,0.66503670963
iml,20,0.676397082827
iml,200,0.652814940411
iml,5,0.681766817896
iml,50,0.684803459429
bias,10,0.754148038974
bias,100,0.710522055815
bias,20,0.758234272261
bias,200,0.663063313795
bias,5,0.752949712898
bias,50,0.743750713684
iml,10,0.649458290567
iml,100,0.662113147461
iml,20,0.673358884518
iml,200,0.65356459839
iml,5,0.639512147704
iml,50,0.682120391335
bias,10,0.642260249034
bias,100,0.668289737196
bias,20,0.664658726005
bias,200,0.663829218555
bias,5,0.647566383895
bias,50,0.696255827058
iml,10,0.648562541809
iml,100,0.661711995461
iml,20,0.672464126989
iml,200,0.653806239925
iml,5,0.637745434589
iml,50,0.68324712897
bias,10,0.654561370281
bias,100,0.654826560168
bias,20,0.662778472692
bias,200,0.650116725016
bias,5,0.647547347012
bias,50,0.675593650566
iml,10,0.640364036505
iml,100,0.662090192908
iml,20,0.662457451098
iml,200,0.653628656119
iml,5,0.636139486203
iml,50,0.67919981173
bias,10,0.652912732011
bias,100,0.653420667631
bias,20,0.685481656271
bias,200,0.643593147732
bias,5,0.654916117902
bias,50,0.67127040739
iml,10,0.663918299895
iml,100,0.666124432231
iml,20,0.652006545023
iml,200,0.653794775508
iml,5,0.676159422303
iml,50,0.678677690427
bias,10,0.662301762011
bias,100,0.649690894305
bias,20,0.660520500667
bias,200,0.653525804051
bias,5,0.632239341422
bias,50,0.675623158265
iml,10,0.63596379223
iml,100,0.660549144024
iml,20,0.675250574697
iml,200,0.653774825965
iml,5,0.631471273571
iml,50,0.676770472636
bias,10,0.663604979731
bias,100,0.662662346293
bias,20,0.661747130159
bias,200,0.651298342138
bias,5,0.658647285299
bias,50,0.686039400275
iml,10,0.640516773946
iml,100,0.672006424957
iml,20,0.661106459494
iml,200,0.653599325405
iml,5,0.639530842534
iml,50,0.673983110949
bias,10,0.759514061511
bias,100,0.719492622904
bias,20,0.759038781101
bias,200,0.665019732439
bias,5,0.758825929468
bias,50,0.755183645248
iml,10,0.639019176252
iml,100,0.668853259021
iml,20,0.659537821892
iml,200,0.653385489428
iml,5,0.615524888771
iml,50,0.660392290245
bias,10,0.717989608339
bias,100,0.693198837278
bias,20,0.721656731224
bias,200,0.639240284162
bias,5,0.715717175269
bias,50,0.721953823597
iml,10,0.67132333404
iml,100,0.667235209564
iml,20,0.686508613088
iml,200,0.648578994425
iml,5,0.666692894632
iml,50,0.686672662851
bias,10,0.639630025133
bias,100,0.656530477304
bias,20,0.66582653441
bias,200,0.652742348952
bias,5,0.60672669061
bias,50,0.634955270619
iml,10,0.650057309127
iml,100,0.646049186261
iml,20,0.660316465151
iml,200,0.651805329154
iml,5,0.638206636983
iml,50,0.683421986572
bias,10,0.7474727028
bias,100,0.711293748372
bias,20,0.740818779777
bias,200,0.632149843116
bias,5,0.748947867233
bias,50,0.730842701315
iml,10,0.675113225029
iml,100,0.667262439618
iml,20,0.675317064681
iml,200,0.653496590606
iml,5,0.680414856037
iml,50,0.689597150702
bias,10,0.722318667281
bias,100,0.71224502385
bias,20,0.717532409238
bias,200,0.630183053946
bias,5,0.708166602131
bias,50,0.752594022727
iml,10,0.667535951485
iml,100,0.664006050578
iml,20,0.680672214534
iml,200,0.652763347472
iml,5,0.678408435544
iml,50,0.698494650429
bias,10,0.781918810572
bias,100,0.766860349243
bias,20,0.789554380649
bias,200,0.714818057555
bias,5,0.785194913582
bias,50,0.790421174481
iml,10,0.658555693805
iml,100,0.666976003063
iml,20,0.671319687541
iml,200,0.653362435989
iml,5,0.644053662067
iml,50,0.679541283652
bias,10,0.708514186307
bias,100,0.709358322008
bias,20,0.724525213873
bias,200,0.625853968443
bias,5,0.724270097369
bias,50,0.742163527547
iml,10,0.677123896548
iml,100,0.670963694419
iml,20,0.683724100081
iml,200,0.649738169644
iml,5,0.673404937773
iml,50,0.679426893941
bias,10,0.691574324085
bias,100,0.647685565989
bias,20,0.67881819506
bias,200,0.636512108724
bias,5,0.707474901997
bias,50,0.698775924867
iml,10,0.661308237139
iml,100,0.669995647452
iml,20,0.673259741395
iml,200,0.647064330631
iml,5,0.671180387493
iml,50,0.678170939926
bias,10,0.641043378778
bias,100,0.64129735794
bias,20,0.66007625257
bias,200,0.646654017493
bias,5,0.609453308086
bias,50,0.658489281408
iml,10,0.648402843228
iml,100,0.669304985944
iml,20,0.665108555964
iml,200,0.652457341399
iml,5,0.629521923431
iml,50,0.671785638653
bias,10,0.694168561607
bias,100,0.639265383221
bias,20,0.711783496267
bias,200,0.644889501933
bias,5,0.710928703394
bias,50,0.68375402181
iml,10,0.665257777793
iml,100,0.672085529
iml,20,0.677800211609
iml,200,0.648189057487
iml,5,0.667625846645
iml,50,0.682538620439
bias,10,0.755373093666
bias,100,0.698623294824
bias,20,0.722909433294
bias,200,0.670760677744
bias,5,0.740396491088
bias,50,0.723738249025
iml,10,0.630230027069
iml,100,0.661711192023
iml,20,0.662589702871
iml,200,0.654035988038
iml,5,0.621242643739
iml,50,0.674473346431
bias,10,0.793283128533
bias,100,0.748938111141
bias,20,0.782406398648
bias,200,0.714554440057
bias,5,0.774299852718
bias,50,0.764377110375
iml,10,0.650453910828
iml,100,0.663762924044
iml,20,0.672460566157
iml,200,0.653692965449
iml,5,0.647045542059
iml,50,0.673425471964
bias,10,0.683890112646
bias,100,0.676787174385
bias,20,0.692803293327
bias,200,0.653135762562
bias,5,0.69015933805
bias,50,0.674498335409
iml,10,0.683959019488
iml,100,0.680807944214
iml,20,0.665499144613
iml,200,0.653480594422
iml,5,0.666280045822
iml,50,0.67871433718
equal,10,0.66267116019
equal,100,0.664694249197
equal,20,0.666207233999
equal,200,0.646009068726
equal,5,0.663551980183
equal,50,0.690436049573
