dataset,size,std,var
adults_original_dataset.csv,30162,23067.4001036,532104947.541
adults_outliers_removed_0.1.csv,27145,22639.1158206,512529565.139
adults_outliers_removed_0.15.csv,25637,22830.0885518,521212943.283
adults_outliers_removed_0.2.csv,24129,23285.7879266,542227919.364
adults_outliers_removed_0.25.csv,22621,22718.224217,516117711.574
adults_outliers_removed_0.3.csv,21113,22845.0273879,521895276.355
adults_outliers_removed_0.35.csv,19605,23956.915076,573933779.959
adults_outliers_removed_0.4.csv,18096,23736.9557685,563443069.155
adults_outliers_removed_0.45.csv,16589,24264.6365728,588772588.01
adults_outliers_removed_0.5.csv,15081,25747.3668531,662926899.866
adults_outliers_removed_0.55.csv,13573,25084.0256451,629208342.565
adults_outliers_removed_0.6.csv,12065,27019.2671166,730040795.519
adults_outliers_removed_0.65.csv,10556,26085.3896841,680447554.972
adults_outliers_removed_0.7.csv,9049,29539.0195482,872553675.868
adults_outliers_removed_0.75.csv,7541,32940.254515,1085060367.51
adults_outliers_removed_0.8.csv,6033,36701.5040341,1347000398.37
adults_outliers_removed_0.85.csv,4525,39520.1171558,1561839660.01
adults_outliers_removed_0.9.csv,3017,40283.6743231,1622774416.97
adults_outliers_removed_0.95.csv,1509,43694.5578116,1909214382.35
