dataset,size,std,var
adults_original_dataset.csv,30162,23067.4001036,532104947.541
adults_random_deletion_0.1.csv,27106,23105.2764178,533853798.342
adults_random_deletion_0.15.csv,25666,23112.4363725,534184715.072
adults_random_deletion_0.2.csv,24189,23063.8556981,531941439.662
adults_random_deletion_0.25.csv,22532,23151.3486813,535984945.762
adults_random_deletion_0.3.csv,21052,23252.9536992,540699855.737
adults_random_deletion_0.35.csv,19612,23366.8538144,546009857.181
adults_random_deletion_0.4.csv,18066,23084.455969,532892107.386
adults_random_deletion_0.45.csv,16738,23163.09201,536528831.465
adults_random_deletion_0.5.csv,15095,22899.4313251,524383955.015
adults_random_deletion_0.55.csv,13564,23302.0045204,542983414.671
adults_random_deletion_0.6.csv,12239,23106.6330026,533916488.716
adults_random_deletion_0.65.csv,10559,23166.7637619,536698943.198
adults_random_deletion_0.7.csv,9044,23123.0764152,534676662.905
adults_random_deletion_0.75.csv,7621,23074.4870928,532431954.594
adults_random_deletion_0.8.csv,6010,23494.4692645,551990086.022
adults_random_deletion_0.85.csv,4545,23553.0954794,554748306.664
adults_random_deletion_0.9.csv,3041,23496.6740106,552093689.56
adults_random_deletion_0.95.csv,1505,25385.8306214,644440396.338
