dataset,precision,recall,f1
adults___0.1.csv,0.88069649117654247,0.86774206764568562,0.87417038103570821
adults___0.15.csv,0.87971303621359154,0.86791864242509631,0.87377428615932318
adults___0.2.csv,0.88220068792204265,0.87035421605425201,0.87623445517773479
adults___0.25.csv,0.8814237096325469,0.86885322183061864,0.87509266442799127
adults___0.3.csv,0.87921307322469766,0.86566588392399946,0.87238338904983603
adults___0.35.csv,0.87824410786301854,0.86620485813838766,0.8721783122806912
adults___0.4.csv,0.87613785255738497,0.86217300629212945,0.86909806380788179
adults___0.45.csv,0.87963989361456463,0.86575418427895134,0.87263187827065603
adults___0.5.csv,0.88168511017164375,0.8699580442291065,0.87577818857020018
adults___0.55.csv,0.88208784085564351,0.86751646113346492,0.87473952698726154
adults___0.6.csv,0.8766086978424148,0.8646122921777053,0.87056633447288867
adults___0.65.csv,0.88503584814789638,0.87413758437455125,0.87955001778009001
adults___0.7.csv,0.87576184914159616,0.86410734366596564,0.86989315489465491
adults___0.75.csv,0.87609116093054717,0.86366514965445818,0.86982800064748367
adults___0.8.csv,0.86821963914123335,0.85740432612312811,0.8627747126186659
adults___0.85.csv,0.87884660987575658,0.86577625018153659,0.87223619034593602
adults___0.9.csv,0.86631980965099387,0.8536680327868853,0.85994095734308007
adults___0.95.csv,0.87114297752028824,0.85247682119205304,0.86164418119708996
adults_original_dataset.csv,0.88200763180122266,0.86904010562603262,0.87547311000163519
