dataset,precision,recall,f1
adults___0.1.csv,0.86317843073235478,0.84737714736055503,0.8552020106660374
adults___0.15.csv,0.86010994305348465,0.84477505578478096,0.85236994238166675
adults___0.2.csv,0.86400899197364944,0.84910456952489799,0.85648788159767464
adults___0.25.csv,0.86396843809745305,0.84719557596673822,0.85549768852252939
adults___0.3.csv,0.85843783353513348,0.84372048642832487,0.85101150781856449
adults___0.35.csv,0.86013441811314362,0.84534963386443385,0.85267604137907949
adults___0.4.csv,0.85809268850374087,0.84146906854787051,0.84969116990068438
adults___0.45.csv,0.86237949340219233,0.84711476318305867,0.85467588417306573
adults___0.5.csv,0.86146937624549957,0.84749906740572034,0.85441716504633547
adults___0.55.csv,0.86248025212921198,0.84591531293000555,0.85411308822927645
adults___0.6.csv,0.85745437102230926,0.84214450429940302,0.84972442615650101
adults___0.65.csv,0.86603613163303561,0.85159620494039923,0.85874123424251558
adults___0.7.csv,0.86151638232790384,0.84653131569940832,0.85394377359526408
adults___0.75.csv,0.86138485268241816,0.8477912164649144,0.85452138908758779
adults___0.8.csv,0.85844050727082877,0.84425956738768715,0.85128522680812113
adults___0.85.csv,0.85980847623041701,0.84246599215762219,0.85101997836155918
adults___0.9.csv,0.83857417750269536,0.82406384814495259,0.83121774877950361
adults___0.95.csv,0.86540680401019299,0.84644150110375271,0.85575857044703585
adults_original_dataset.csv,0.8615169038253937,0.84679385339838176,0.85408966882882265
