dataset,precision,recall,f1
adults___0.1.csv,0.81245378862019457,0.80738603557190136,0.80990951332394068
adults___0.15.csv,0.81390183970262664,0.80861836530021147,0.81124878032831593
adults___0.2.csv,0.81498767639242975,0.80987221715595203,0.81242040232201396
adults___0.25.csv,0.81322716411855311,0.80853920101010934,0.81087427368484943
adults___0.3.csv,0.81186773528192246,0.80643087389722368,0.80913910368006869
adults___0.35.csv,0.81209526285410139,0.80680216307704611,0.80943705611031436
adults___0.4.csv,0.80912046399829818,0.80211420947576195,0.80559924167918273
adults___0.45.csv,0.8122183349361688,0.80756390947374901,0.80988187317385074
adults___0.5.csv,0.81131435261819185,0.80622968590224653,0.8087614449382482
adults___0.55.csv,0.80882965883731672,0.80455797862280798,0.80668552196758836
adults___0.6.csv,0.81048166993747905,0.80414923123787541,0.80729135783555095
adults___0.65.csv,0.8139325274319329,0.81001974723538694,0.81197015046576859
adults___0.7.csv,0.8088812065292228,0.80429081308365524,0.80657842623366294
adults___0.75.csv,0.81690411826944143,0.81341076631476117,0.8151497481098996
adults___0.8.csv,0.80588014591673007,0.80183028286189695,0.80384309043836522
adults___0.85.csv,0.81547130875195128,0.80989495086411389,0.81266499596730246
adults___0.9.csv,0.80906416792277303,0.80170081967213103,0.80533973943169423
adults___0.95.csv,0.80720838644996373,0.80129801324503303,0.8041771855510994
adults_original_dataset.csv,0.81356047188092329,0.80850051520605182,0.81102170153644182
