dataset,precision,recall,F1 score
adults_anonymized_k03_emph_age.csv,0,[0.70967741935483875],[0.45895020188425301],[0.55741724560686556]
adults_anonymized_k03_emph_age.csv,1,"[0.70967741935483875, 0.70296084049665708]","[0.45895020188425301, 0.48010437051532939]","[0.55741724560686556, 0.57054263565891461]"
adults_anonymized_k03_emph_race.csv,0,[0.67271078875793289],[0.49698593436034827],[0.57164869029275811]
adults_anonymized_k03_emph_race.csv,1,"[0.67271078875793289, 0.68217821782178223]","[0.49698593436034827, 0.46554054054054056]","[0.57164869029275811, 0.55341365461847403]"
adults_anonymized_k03_equal.csv,0,[0.71914132379248663],[0.53069306930693072],[0.61071021648309909]
adults_anonymized_k03_equal.csv,1,"[0.71914132379248663, 0.72169403630077789]","[0.53069306930693072, 0.53697749196141475]","[0.61071021648309909, 0.61578171091445422]"
adults_anonymized_k07_emph_age.csv,0,[0.65190525231719876],[0.43775933609958506],[0.52378982209350433]
adults_anonymized_k07_emph_age.csv,1,"[0.65190525231719876, 0.68062317429406038]","[0.43775933609958506, 0.46352785145888592]","[0.52378982209350433, 0.5514792899408284]"
adults_anonymized_k07_emph_race.csv,0,[0.68027888446215135],[0.44524119947848761],[0.53821907013396375]
adults_anonymized_k07_emph_race.csv,1,"[0.68027888446215135, 0.68522267206477738]","[0.44524119947848761, 0.43847150259067358]","[0.53821907013396375, 0.53475513428120058]"
adults_anonymized_k07_equal.csv,0,[0.68631178707224338],[0.48750844024307899],[0.5700750098697196]
adults_anonymized_k07_equal.csv,1,"[0.68631178707224338, 0.68852459016393441]","[0.48750844024307899, 0.48406779661016947]","[0.5700750098697196, 0.56847133757961787]"
adults_original_dataset.csv,0,[0.78115015974440893],[0.65947403910991231],[0.71517367458866543]
adults_original_dataset.csv,1,"[0.78115015974440893, 0.77551020408163263]","[0.65947403910991231, 0.66264252179745142]","[0.71517367458866543, 0.71464737793851707]"
adults_anonymized_k03_emph_age.csv,0.70631912992574786,0.46952728619979123,0.56397994063289003
adults_anonymized_k03_emph_race.csv,0.6774445032898575,0.48126323745044441,0.56253117245561612
adults_anonymized_k03_equal.csv,0.7204176800466322,0.53383528063417274,0.6132459636987766
adults_anonymized_k07_emph_age.csv,0.66626421330562957,0.45064359377923546,0.53763455601716637
adults_anonymized_k07_emph_race.csv,0.68275077826346431,0.4418563510345806,0.53648710220758211
adults_anonymized_k07_equal.csv,0.6874181886180889,0.48578811842662423,0.56927317372466879
adults_original_dataset.csv,0.77833018191302084,0.66105828045368187,0.71491052626359131
